,grid_id,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,Incident_ID,Service_Area,Date,Hour,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
1011,37068,True,10.556,0.15,1992.222,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,433947,Teunis,2023-07-05,9,13.367499,81.78192,10.3175,6.4305973,3.2,3.2,0.0,0.0,63.0,1002.3,1001.9414,48.305775,267.0097,97.92,13.0675,16.5175,15.9675,10.8175,0.733,0.474,0.538,0.661
1012,37072,True,18.439,0.0,1981.388,0.0,0.0,2.0,9.0,34.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,98994,Hendrik,2010-08-18,18,16.711,64.40506,9.961,13.752541,0.0,0.0,0.0,0.0,2.0,1007.2,1006.48804,20.316889,262.8751,35.28,18.011,17.311,15.911,12.011001,0.53,0.467,0.435,0.56
1013,37072,True,18.439,0.0,1981.388,0.0,0.0,2.0,9.0,34.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,99245,Hendrik,2010-08-25,20,15.511001,88.45722,13.611,16.295488,0.6,0.6,0.0,0.0,53.0,1014.2,1013.4803,2.5959969,123.690094,9.72,16.711,17.261,16.111,12.261001,0.532,0.499,0.435,0.558
1014,37072,True,18.439,0.0,1981.388,0.0,0.0,2.0,9.0,34.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,349275,Pieter,2020-06-13,0,15.9175,94.39421,15.0175,16.645128,2.3,2.3,0.0,0.0,61.0,1009.1,1008.74225,6.519877,6.3401003,17.64,16.6175,16.2675,13.0175,10.0175,0.501,0.425,0.52,0.662
1015,37074,True,9.78,0.25,1938.122,1.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,393578,Hendrik,2022-02-18,18,6.948,65.143654,0.848,-2.5184107,0.0,0.0,0.0,0.0,1.0,989.6,988.87604,51.268097,261.92688,97.56,7.948,7.948,7.548,9.848,0.724,0.72,0.7,0.679
1016,37080,True,16.833,0.496,1841.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,368743,Hendrik,2021-03-11,12,9.435,70.978775,4.435,1.4127154,0.3,0.3,0.0,0.0,51.0,992.9,991.9402,45.860096,247.86446,94.32,8.685,5.935,6.485,9.185,0.68,0.663,0.677,0.683
1017,37080,True,16.833,0.496,1841.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,368926,Hendrik,2021-03-13,12,7.735,70.14579,2.635,-0.122344494,0.1,0.1,0.0,0.0,51.0,989.1,988.1383,42.347084,244.30635,86.76,7.3849998,6.285,6.585,9.135,0.712,0.684,0.678,0.683
1018,37080,True,16.833,0.496,1841.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,433386,Hendrik,2023-07-05,10,13.135,84.80714,10.635,7.5416203,2.3,2.3,0.0,0.0,61.0,1005.0,1004.041,39.732323,265.32266,86.399994,13.035001,16.385,15.935,10.785001,0.727,0.486,0.538,0.661
1019,37080,True,16.833,0.496,1841.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,434116,Hendrik,2023-07-05,10,13.135,84.80714,10.635,7.5416203,2.3,2.3,0.0,0.0,61.0,1005.0,1004.041,39.732323,265.32266,86.399994,13.035001,16.385,15.935,10.785001,0.727,0.486,0.538,0.661
1020,37081,True,13.0,0.26,1658.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,291433,Hendrik,2017-12-30,16,10.485001,78.66685,6.935,5.0413246,0.0,0.0,0.0,0.0,2.0,996.6,995.6404,31.956968,247.47939,63.0,7.285,5.335,7.535,11.635,0.712,0.704,0.682,0.627
