Unnamed: 0,grid_id,zipcode,service_area,geometry,has_tree,avg_height,avg_diameter,avg_year,Populus,Acer,Ulmus,Tilia,Fraxinus,Salix,Alnus,Onbekend,Quercus,Robinia,Betula,Carpinus,Overig,Crataegus,Prunus,Platanus,Malus,num_trees
0.0,18.0,1431.0,Aalsmeer,"POLYGON ((4.701389236832061 52.24075030677079, 4.70433696591653 52.24075030677079, 4.70433696591653 52.23894850496899, 4.701389236832061 52.23894850496899, 4.701389236832061 52.24075030677079))",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,19.0,1431.0,Aalsmeer,"POLYGON ((4.701389236832061 52.242552108572596, 4.70433696591653 52.242552108572596, 4.70433696591653 52.24075030677079, 4.701389236832061 52.24075030677079, 4.701389236832061 52.242552108572596))",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,1431.0,Aalsmeer,"POLYGON ((4.701389236832061 52.2443539103744, 4.70433696591653 52.2443539103744, 4.70433696591653 52.242552108572596, 4.701389236832061 52.242552108572596, 4.701389236832061 52.2443539103744))",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,140.0,1431.0,Aalsmeer,"POLYGON ((4.70433696591653 52.23534490136538, 4.707284695000999 52.23534490136538, 4.707284695000999 52.233543099563576, 4.70433696591653 52.233543099563576, 4.70433696591653 52.23534490136538))",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,141.0,1433.0,Aalsmeer,"POLYGON ((4.70433696591653 52.237146703167184, 4.707284695000999 52.237146703167184, 4.707284695000999 52.23534490136538, 4.70433696591653 52.23534490136538, 4.70433696591653 52.237146703167184))",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,142.0,1433.0,Aalsmeer,"POLYGON ((4.70433696591653 52.23894850496899, 4.707284695000999 52.23894850496899, 4.707284695000999 52.237146703167184, 4.70433696591653 52.237146703167184, 4.70433696591653 52.23894850496899))",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,143.0,1431.0,Aalsmeer,"POLYGON ((4.70433696591653 52.24075030677079, 4.707284695000999 52.24075030677079, 4.707284695000999 52.23894850496899, 4.70433696591653 52.23894850496899, 4.70433696591653 52.24075030677079))",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,144.0,1431.0,Aalsmeer,"POLYGON ((4.70433696591653 52.242552108572596, 4.707284695000999 52.242552108572596, 4.707284695000999 52.24075030677079, 4.70433696591653 52.24075030677079, 4.70433696591653 52.242552108572596))",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,145.0,1431.0,Aalsmeer,"POLYGON ((4.70433696591653 52.2443539103744, 4.707284695000999 52.2443539103744, 4.707284695000999 52.242552108572596, 4.70433696591653 52.242552108572596, 4.70433696591653 52.2443539103744))",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,146.0,1431.0,Aalsmeer,"POLYGON ((4.70433696591653 52.246155712176204, 4.707284695000999 52.246155712176204, 4.707284695000999 52.2443539103744, 4.70433696591653 52.2443539103744, 4.70433696591653 52.246155712176204))",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,147.0,1431.0,Aalsmeer,"POLYGON ((4.70433696591653 52.24795751397801, 4.707284695000999 52.24795751397801, 4.707284695000999 52.246155712176204, 4.70433696591653 52.246155712176204, 4.70433696591653 52.24795751397801))",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,265.0,1431.0,Aalsmeer,"POLYGON ((4.707284695000999 52.23534490136538, 4.7102324240854685 52.23534490136538, 4.7102324240854685 52.233543099563576, 4.707284695000999 52.233543099563576, 4.707284695000999 52.23534490136538))",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,266.0,1433.0,Aalsmeer,"POLYGON ((4.707284695000999 52.237146703167184, 4.7102324240854685 52.237146703167184, 4.7102324240854685 52.23534490136538, 4.707284695000999 52.23534490136538, 4.707284695000999 52.237146703167184))",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,267.0,1433.0,Aalsmeer,"POLYGON ((4.707284695000999 52.23894850496899, 4.7102324240854685 52.23894850496899, 4.7102324240854685 52.237146703167184, 4.707284695000999 52.237146703167184, 4.707284695000999 52.23894850496899))",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,268.0,1431.0,Aalsmeer,"POLYGON ((4.707284695000999 52.24075030677079, 4.7102324240854685 52.24075030677079, 4.7102324240854685 52.23894850496899, 4.707284695000999 52.23894850496899, 4.707284695000999 52.24075030677079))",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,269.0,1431.0,Aalsmeer,"POLYGON ((4.707284695000999 52.242552108572596, 4.7102324240854685 52.242552108572596, 4.7102324240854685 52.24075030677079, 4.707284695000999 52.24075030677079, 4.707284695000999 52.242552108572596))",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,270.0,1431.0,Aalsmeer,"POLYGON ((4.707284695000999 52.2443539103744, 4.7102324240854685 52.2443539103744, 4.7102324240854685 52.242552108572596, 4.707284695000999 52.242552108572596, 4.707284695000999 52.2443539103744))",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
