,geometry
1995,"POLYGON ((4.745605173099097 52.422732288753, 4.745605173099097 52.4245340905548, 4.748552902183566 52.4245340905548, 4.748552902183566 52.422732288753, 4.745605173099097 52.422732288753))"
1996,"POLYGON ((4.745605173099097 52.4245340905548, 4.745605173099097 52.426335892356605, 4.748552902183566 52.426335892356605, 4.748552902183566 52.4245340905548, 4.745605173099097 52.4245340905548))"
1997,"POLYGON ((4.745605173099097 52.426335892356605, 4.745605173099097 52.42813769415841, 4.748552902183566 52.42813769415841, 4.748552902183566 52.426335892356605, 4.745605173099097 52.426335892356605))"
1998,"POLYGON ((4.745605173099097 52.42813769415841, 4.745605173099097 52.42993949596021, 4.748552902183566 52.42993949596021, 4.748552902183566 52.42813769415841, 4.745605173099097 52.42813769415841))"
1999,"POLYGON ((4.745605173099097 52.42993949596021, 4.745605173099097 52.43174129776202, 4.748552902183566 52.43174129776202, 4.748552902183566 52.42993949596021, 4.745605173099097 52.42993949596021))"
2000,"POLYGON ((4.748552902183566 52.206516072536516, 4.748552902183566 52.20831787433832, 4.751500631268035 52.20831787433832, 4.751500631268035 52.206516072536516, 4.748552902183566 52.206516072536516))"
2001,"POLYGON ((4.748552902183566 52.20831787433832, 4.748552902183566 52.210119676140124, 4.751500631268035 52.210119676140124, 4.751500631268035 52.20831787433832, 4.748552902183566 52.20831787433832))"
2002,"POLYGON ((4.748552902183566 52.210119676140124, 4.748552902183566 52.21192147794193, 4.751500631268035 52.21192147794193, 4.751500631268035 52.210119676140124, 4.748552902183566 52.210119676140124))"
2003,"POLYGON ((4.748552902183566 52.21192147794193, 4.748552902183566 52.21372327974373, 4.751500631268035 52.21372327974373, 4.751500631268035 52.21192147794193, 4.748552902183566 52.21192147794193))"
2004,"POLYGON ((4.748552902183566 52.21372327974373, 4.748552902183566 52.215525081545536, 4.751500631268035 52.215525081545536, 4.751500631268035 52.21372327974373, 4.748552902183566 52.21372327974373))"
2005,"POLYGON ((4.748552902183566 52.215525081545536, 4.748552902183566 52.21732688334734, 4.751500631268035 52.21732688334734, 4.751500631268035 52.215525081545536, 4.748552902183566 52.215525081545536))"
2006,"POLYGON ((4.748552902183566 52.21732688334734, 4.748552902183566 52.219128685149144, 4.751500631268035 52.219128685149144, 4.751500631268035 52.21732688334734, 4.748552902183566 52.21732688334734))"
2007,"POLYGON ((4.748552902183566 52.219128685149144, 4.748552902183566 52.22093048695095, 4.751500631268035 52.22093048695095, 4.751500631268035 52.219128685149144, 4.748552902183566 52.219128685149144))"
2008,"POLYGON ((4.748552902183566 52.22093048695095, 4.748552902183566 52.22273228875275, 4.751500631268035 52.22273228875275, 4.751500631268035 52.22093048695095, 4.748552902183566 52.22093048695095))"
2009,"POLYGON ((4.748552902183566 52.22273228875275, 4.748552902183566 52.224534090554556, 4.751500631268035 52.224534090554556, 4.751500631268035 52.22273228875275, 4.748552902183566 52.22273228875275))"
2010,"POLYGON ((4.748552902183566 52.224534090554556, 4.748552902183566 52.22633589235636, 4.751500631268035 52.22633589235636, 4.751500631268035 52.224534090554556, 4.748552902183566 52.224534090554556))"
2011,"POLYGON ((4.748552902183566 52.22633589235636, 4.748552902183566 52.228137694158164, 4.751500631268035 52.228137694158164, 4.751500631268035 52.22633589235636, 4.748552902183566 52.22633589235636))"
2012,"POLYGON ((4.748552902183566 52.228137694158164, 4.748552902183566 52.22993949595997, 4.751500631268035 52.22993949595997, 4.751500631268035 52.228137694158164, 4.748552902183566 52.228137694158164))"
2013,"POLYGON ((4.748552902183566 52.22993949595997, 4.748552902183566 52.23174129776177, 4.751500631268035 52.23174129776177, 4.751500631268035 52.22993949595997, 4.748552902183566 52.22993949595997))"
2014,"POLYGON ((4.748552902183566 52.23174129776177, 4.748552902183566 52.233543099563576, 4.751500631268035 52.233543099563576, 4.751500631268035 52.23174129776177, 4.748552902183566 52.23174129776177))"
2015,"POLYGON ((4.748552902183566 52.233543099563576, 4.748552902183566 52.23534490136538, 4.751500631268035 52.23534490136538, 4.751500631268035 52.233543099563576, 4.748552902183566 52.233543099563576))"
2016,"POLYGON ((4.748552902183566 52.23534490136538, 4.748552902183566 52.237146703167184, 4.751500631268035 52.237146703167184, 4.751500631268035 52.23534490136538, 4.748552902183566 52.23534490136538))"
2017,"POLYGON ((4.748552902183566 52.237146703167184, 4.748552902183566 52.23894850496899, 4.751500631268035 52.23894850496899, 4.751500631268035 52.237146703167184, 4.748552902183566 52.237146703167184))"
2018,"POLYGON ((4.748552902183566 52.23894850496899, 4.748552902183566 52.24075030677079, 4.751500631268035 52.24075030677079, 4.751500631268035 52.23894850496899, 4.748552902183566 52.23894850496899))"
2019,"POLYGON ((4.748552902183566 52.24075030677079, 4.748552902183566 52.242552108572596, 4.751500631268035 52.242552108572596, 4.751500631268035 52.24075030677079, 4.748552902183566 52.24075030677079))"
2020,"POLYGON ((4.748552902183566 52.242552108572596, 4.748552902183566 52.2443539103744, 4.751500631268035 52.2443539103744, 4.751500631268035 52.242552108572596, 4.748552902183566 52.242552108572596))"
2021,"POLYGON ((4.748552902183566 52.2443539103744, 4.748552902183566 52.246155712176204, 4.751500631268035 52.246155712176204, 4.751500631268035 52.2443539103744, 4.748552902183566 52.2443539103744))"
2022,"POLYGON ((4.748552902183566 52.246155712176204, 4.748552902183566 52.24795751397801, 4.751500631268035 52.24795751397801, 4.751500631268035 52.246155712176204, 4.748552902183566 52.246155712176204))"
2023,"POLYGON ((4.748552902183566 52.24795751397801, 4.748552902183566 52.24975931577981, 4.751500631268035 52.24975931577981, 4.751500631268035 52.24795751397801, 4.748552902183566 52.24795751397801))"
2024,"POLYGON ((4.748552902183566 52.24975931577981, 4.748552902183566 52.251561117581616, 4.751500631268035 52.251561117581616, 4.751500631268035 52.24975931577981, 4.748552902183566 52.24975931577981))"
2025,"POLYGON ((4.748552902183566 52.251561117581616, 4.748552902183566 52.25336291938342, 4.751500631268035 52.25336291938342, 4.751500631268035 52.251561117581616, 4.748552902183566 52.251561117581616))"
2026,"POLYGON ((4.748552902183566 52.25336291938342, 4.748552902183566 52.255164721185224, 4.751500631268035 52.255164721185224, 4.751500631268035 52.25336291938342, 4.748552902183566 52.25336291938342))"
2027,"POLYGON ((4.748552902183566 52.255164721185224, 4.748552902183566 52.25696652298703, 4.751500631268035 52.25696652298703, 4.751500631268035 52.255164721185224, 4.748552902183566 52.255164721185224))"
2028,"POLYGON ((4.748552902183566 52.25696652298703, 4.748552902183566 52.25876832478883, 4.751500631268035 52.25876832478883, 4.751500631268035 52.25696652298703, 4.748552902183566 52.25696652298703))"
2029,"POLYGON ((4.748552902183566 52.25876832478883, 4.748552902183566 52.260570126590636, 4.751500631268035 52.260570126590636, 4.751500631268035 52.25876832478883, 4.748552902183566 52.25876832478883))"
2030,"POLYGON ((4.748552902183566 52.260570126590636, 4.748552902183566 52.26237192839244, 4.751500631268035 52.26237192839244, 4.751500631268035 52.260570126590636, 4.748552902183566 52.260570126590636))"
2031,"POLYGON ((4.748552902183566 52.26237192839244, 4.748552902183566 52.264173730194244, 4.751500631268035 52.264173730194244, 4.751500631268035 52.26237192839244, 4.748552902183566 52.26237192839244))"
2032,"POLYGON ((4.748552902183566 52.264173730194244, 4.748552902183566 52.26597553199605, 4.751500631268035 52.26597553199605, 4.751500631268035 52.264173730194244, 4.748552902183566 52.264173730194244))"
2033,"POLYGON ((4.748552902183566 52.26597553199605, 4.748552902183566 52.26777733379785, 4.751500631268035 52.26777733379785, 4.751500631268035 52.26597553199605, 4.748552902183566 52.26597553199605))"
2034,"POLYGON ((4.748552902183566 52.26777733379785, 4.748552902183566 52.269579135599656, 4.751500631268035 52.269579135599656, 4.751500631268035 52.26777733379785, 4.748552902183566 52.26777733379785))"
2035,"POLYGON ((4.748552902183566 52.269579135599656, 4.748552902183566 52.27138093740146, 4.751500631268035 52.27138093740146, 4.751500631268035 52.269579135599656, 4.748552902183566 52.269579135599656))"
2036,"POLYGON ((4.748552902183566 52.27138093740146, 4.748552902183566 52.273182739203264, 4.751500631268035 52.273182739203264, 4.751500631268035 52.27138093740146, 4.748552902183566 52.27138093740146))"
2037,"POLYGON ((4.748552902183566 52.273182739203264, 4.748552902183566 52.27498454100507, 4.751500631268035 52.27498454100507, 4.751500631268035 52.273182739203264, 4.748552902183566 52.273182739203264))"
2038,"POLYGON ((4.748552902183566 52.27498454100507, 4.748552902183566 52.27678634280687, 4.751500631268035 52.27678634280687, 4.751500631268035 52.27498454100507, 4.748552902183566 52.27498454100507))"
2039,"POLYGON ((4.748552902183566 52.27678634280687, 4.748552902183566 52.278588144608676, 4.751500631268035 52.278588144608676, 4.751500631268035 52.27678634280687, 4.748552902183566 52.27678634280687))"
2040,"POLYGON ((4.748552902183566 52.278588144608676, 4.748552902183566 52.28038994641048, 4.751500631268035 52.28038994641048, 4.751500631268035 52.278588144608676, 4.748552902183566 52.278588144608676))"
2041,"POLYGON ((4.748552902183566 52.28038994641048, 4.748552902183566 52.282191748212284, 4.751500631268035 52.282191748212284, 4.751500631268035 52.28038994641048, 4.748552902183566 52.28038994641048))"
2042,"POLYGON ((4.748552902183566 52.282191748212284, 4.748552902183566 52.28399355001409, 4.751500631268035 52.28399355001409, 4.751500631268035 52.282191748212284, 4.748552902183566 52.282191748212284))"
2043,"POLYGON ((4.748552902183566 52.28399355001409, 4.748552902183566 52.28579535181589, 4.751500631268035 52.28579535181589, 4.751500631268035 52.28399355001409, 4.748552902183566 52.28399355001409))"
2044,"POLYGON ((4.748552902183566 52.28579535181589, 4.748552902183566 52.287597153617696, 4.751500631268035 52.287597153617696, 4.751500631268035 52.28579535181589, 4.748552902183566 52.28579535181589))"
2045,"POLYGON ((4.748552902183566 52.287597153617696, 4.748552902183566 52.2893989554195, 4.751500631268035 52.2893989554195, 4.751500631268035 52.287597153617696, 4.748552902183566 52.287597153617696))"
2046,"POLYGON ((4.748552902183566 52.2893989554195, 4.748552902183566 52.291200757221304, 4.751500631268035 52.291200757221304, 4.751500631268035 52.2893989554195, 4.748552902183566 52.2893989554195))"
2047,"POLYGON ((4.748552902183566 52.291200757221304, 4.748552902183566 52.29300255902311, 4.751500631268035 52.29300255902311, 4.751500631268035 52.291200757221304, 4.748552902183566 52.291200757221304))"
2048,"POLYGON ((4.748552902183566 52.29300255902311, 4.748552902183566 52.29480436082491, 4.751500631268035 52.29480436082491, 4.751500631268035 52.29300255902311, 4.748552902183566 52.29300255902311))"
2049,"POLYGON ((4.748552902183566 52.29480436082491, 4.748552902183566 52.296606162626716, 4.751500631268035 52.296606162626716, 4.751500631268035 52.29480436082491, 4.748552902183566 52.29480436082491))"
2050,"POLYGON ((4.748552902183566 52.296606162626716, 4.748552902183566 52.29840796442852, 4.751500631268035 52.29840796442852, 4.751500631268035 52.296606162626716, 4.748552902183566 52.296606162626716))"
2051,"POLYGON ((4.748552902183566 52.29840796442852, 4.748552902183566 52.300209766230324, 4.751500631268035 52.300209766230324, 4.751500631268035 52.29840796442852, 4.748552902183566 52.29840796442852))"
2052,"POLYGON ((4.748552902183566 52.300209766230324, 4.748552902183566 52.30201156803213, 4.751500631268035 52.30201156803213, 4.751500631268035 52.300209766230324, 4.748552902183566 52.300209766230324))"
2053,"POLYGON ((4.748552902183566 52.30201156803213, 4.748552902183566 52.30381336983393, 4.751500631268035 52.30381336983393, 4.751500631268035 52.30201156803213, 4.748552902183566 52.30201156803213))"
2054,"POLYGON ((4.748552902183566 52.30381336983393, 4.748552902183566 52.305615171635736, 4.751500631268035 52.305615171635736, 4.751500631268035 52.30381336983393, 4.748552902183566 52.30381336983393))"
2055,"POLYGON ((4.748552902183566 52.305615171635736, 4.748552902183566 52.30741697343754, 4.751500631268035 52.30741697343754, 4.751500631268035 52.305615171635736, 4.748552902183566 52.305615171635736))"
2056,"POLYGON ((4.748552902183566 52.30741697343754, 4.748552902183566 52.309218775239344, 4.751500631268035 52.309218775239344, 4.751500631268035 52.30741697343754, 4.748552902183566 52.30741697343754))"
2057,"POLYGON ((4.748552902183566 52.309218775239344, 4.748552902183566 52.31102057704115, 4.751500631268035 52.31102057704115, 4.751500631268035 52.309218775239344, 4.748552902183566 52.309218775239344))"
2058,"POLYGON ((4.748552902183566 52.31102057704115, 4.748552902183566 52.31282237884295, 4.751500631268035 52.31282237884295, 4.751500631268035 52.31102057704115, 4.748552902183566 52.31102057704115))"
2059,"POLYGON ((4.748552902183566 52.31282237884295, 4.748552902183566 52.314624180644756, 4.751500631268035 52.314624180644756, 4.751500631268035 52.31282237884295, 4.748552902183566 52.31282237884295))"
2060,"POLYGON ((4.748552902183566 52.314624180644756, 4.748552902183566 52.31642598244656, 4.751500631268035 52.31642598244656, 4.751500631268035 52.314624180644756, 4.748552902183566 52.314624180644756))"
2061,"POLYGON ((4.748552902183566 52.31642598244656, 4.748552902183566 52.318227784248364, 4.751500631268035 52.318227784248364, 4.751500631268035 52.31642598244656, 4.748552902183566 52.31642598244656))"
2062,"POLYGON ((4.748552902183566 52.318227784248364, 4.748552902183566 52.32002958605017, 4.751500631268035 52.32002958605017, 4.751500631268035 52.318227784248364, 4.748552902183566 52.318227784248364))"
2063,"POLYGON ((4.748552902183566 52.32002958605017, 4.748552902183566 52.32183138785197, 4.751500631268035 52.32183138785197, 4.751500631268035 52.32002958605017, 4.748552902183566 52.32002958605017))"
2064,"POLYGON ((4.748552902183566 52.32183138785197, 4.748552902183566 52.323633189653776, 4.751500631268035 52.323633189653776, 4.751500631268035 52.32183138785197, 4.748552902183566 52.32183138785197))"
2065,"POLYGON ((4.748552902183566 52.323633189653776, 4.748552902183566 52.32543499145558, 4.751500631268035 52.32543499145558, 4.751500631268035 52.323633189653776, 4.748552902183566 52.323633189653776))"
2066,"POLYGON ((4.748552902183566 52.32543499145558, 4.748552902183566 52.327236793257384, 4.751500631268035 52.327236793257384, 4.751500631268035 52.32543499145558, 4.748552902183566 52.32543499145558))"
2067,"POLYGON ((4.748552902183566 52.327236793257384, 4.748552902183566 52.32903859505919, 4.751500631268035 52.32903859505919, 4.751500631268035 52.327236793257384, 4.748552902183566 52.327236793257384))"
2068,"POLYGON ((4.748552902183566 52.32903859505919, 4.748552902183566 52.33084039686099, 4.751500631268035 52.33084039686099, 4.751500631268035 52.32903859505919, 4.748552902183566 52.32903859505919))"
2069,"POLYGON ((4.748552902183566 52.33084039686099, 4.748552902183566 52.332642198662796, 4.751500631268035 52.332642198662796, 4.751500631268035 52.33084039686099, 4.748552902183566 52.33084039686099))"
2070,"POLYGON ((4.748552902183566 52.332642198662796, 4.748552902183566 52.3344440004646, 4.751500631268035 52.3344440004646, 4.751500631268035 52.332642198662796, 4.748552902183566 52.332642198662796))"
2071,"POLYGON ((4.748552902183566 52.3344440004646, 4.748552902183566 52.336245802266404, 4.751500631268035 52.336245802266404, 4.751500631268035 52.3344440004646, 4.748552902183566 52.3344440004646))"
2072,"POLYGON ((4.748552902183566 52.336245802266404, 4.748552902183566 52.33804760406821, 4.751500631268035 52.33804760406821, 4.751500631268035 52.336245802266404, 4.748552902183566 52.336245802266404))"
2073,"POLYGON ((4.748552902183566 52.33804760406821, 4.748552902183566 52.33984940587001, 4.751500631268035 52.33984940587001, 4.751500631268035 52.33804760406821, 4.748552902183566 52.33804760406821))"
2074,"POLYGON ((4.748552902183566 52.33984940587001, 4.748552902183566 52.341651207671816, 4.751500631268035 52.341651207671816, 4.751500631268035 52.33984940587001, 4.748552902183566 52.33984940587001))"
2075,"POLYGON ((4.748552902183566 52.341651207671816, 4.748552902183566 52.34345300947362, 4.751500631268035 52.34345300947362, 4.751500631268035 52.341651207671816, 4.748552902183566 52.341651207671816))"
2076,"POLYGON ((4.748552902183566 52.34345300947362, 4.748552902183566 52.345254811275424, 4.751500631268035 52.345254811275424, 4.751500631268035 52.34345300947362, 4.748552902183566 52.34345300947362))"
2077,"POLYGON ((4.748552902183566 52.345254811275424, 4.748552902183566 52.34705661307723, 4.751500631268035 52.34705661307723, 4.751500631268035 52.345254811275424, 4.748552902183566 52.345254811275424))"
2078,"POLYGON ((4.748552902183566 52.34705661307723, 4.748552902183566 52.34885841487903, 4.751500631268035 52.34885841487903, 4.751500631268035 52.34705661307723, 4.748552902183566 52.34705661307723))"
2079,"POLYGON ((4.748552902183566 52.34885841487903, 4.748552902183566 52.350660216680836, 4.751500631268035 52.350660216680836, 4.751500631268035 52.34885841487903, 4.748552902183566 52.34885841487903))"
2080,"POLYGON ((4.748552902183566 52.350660216680836, 4.748552902183566 52.35246201848264, 4.751500631268035 52.35246201848264, 4.751500631268035 52.350660216680836, 4.748552902183566 52.350660216680836))"
2081,"POLYGON ((4.748552902183566 52.35246201848264, 4.748552902183566 52.354263820284444, 4.751500631268035 52.354263820284444, 4.751500631268035 52.35246201848264, 4.748552902183566 52.35246201848264))"
2082,"POLYGON ((4.748552902183566 52.354263820284444, 4.748552902183566 52.35606562208625, 4.751500631268035 52.35606562208625, 4.751500631268035 52.354263820284444, 4.748552902183566 52.354263820284444))"
2083,"POLYGON ((4.748552902183566 52.35606562208625, 4.748552902183566 52.35786742388805, 4.751500631268035 52.35786742388805, 4.751500631268035 52.35606562208625, 4.748552902183566 52.35606562208625))"
2084,"POLYGON ((4.748552902183566 52.35786742388805, 4.748552902183566 52.359669225689856, 4.751500631268035 52.359669225689856, 4.751500631268035 52.35786742388805, 4.748552902183566 52.35786742388805))"
2085,"POLYGON ((4.748552902183566 52.359669225689856, 4.748552902183566 52.36147102749166, 4.751500631268035 52.36147102749166, 4.751500631268035 52.359669225689856, 4.748552902183566 52.359669225689856))"
2086,"POLYGON ((4.748552902183566 52.36147102749166, 4.748552902183566 52.363272829293464, 4.751500631268035 52.363272829293464, 4.751500631268035 52.36147102749166, 4.748552902183566 52.36147102749166))"
2087,"POLYGON ((4.748552902183566 52.363272829293464, 4.748552902183566 52.36507463109527, 4.751500631268035 52.36507463109527, 4.751500631268035 52.363272829293464, 4.748552902183566 52.363272829293464))"
2088,"POLYGON ((4.748552902183566 52.36507463109527, 4.748552902183566 52.36687643289707, 4.751500631268035 52.36687643289707, 4.751500631268035 52.36507463109527, 4.748552902183566 52.36507463109527))"
2089,"POLYGON ((4.748552902183566 52.36687643289707, 4.748552902183566 52.368678234698876, 4.751500631268035 52.368678234698876, 4.751500631268035 52.36687643289707, 4.748552902183566 52.36687643289707))"
2090,"POLYGON ((4.748552902183566 52.368678234698876, 4.748552902183566 52.37048003650068, 4.751500631268035 52.37048003650068, 4.751500631268035 52.368678234698876, 4.748552902183566 52.368678234698876))"
2091,"POLYGON ((4.748552902183566 52.37048003650068, 4.748552902183566 52.372281838302484, 4.751500631268035 52.372281838302484, 4.751500631268035 52.37048003650068, 4.748552902183566 52.37048003650068))"
2092,"POLYGON ((4.748552902183566 52.372281838302484, 4.748552902183566 52.37408364010429, 4.751500631268035 52.37408364010429, 4.751500631268035 52.372281838302484, 4.748552902183566 52.372281838302484))"
2093,"POLYGON ((4.748552902183566 52.37408364010429, 4.748552902183566 52.37588544190609, 4.751500631268035 52.37588544190609, 4.751500631268035 52.37408364010429, 4.748552902183566 52.37408364010429))"
2094,"POLYGON ((4.748552902183566 52.37588544190609, 4.748552902183566 52.377687243707896, 4.751500631268035 52.377687243707896, 4.751500631268035 52.37588544190609, 4.748552902183566 52.37588544190609))"
2095,"POLYGON ((4.748552902183566 52.377687243707896, 4.748552902183566 52.3794890455097, 4.751500631268035 52.3794890455097, 4.751500631268035 52.377687243707896, 4.748552902183566 52.377687243707896))"
2096,"POLYGON ((4.748552902183566 52.3794890455097, 4.748552902183566 52.381290847311504, 4.751500631268035 52.381290847311504, 4.751500631268035 52.3794890455097, 4.748552902183566 52.3794890455097))"
2097,"POLYGON ((4.748552902183566 52.381290847311504, 4.748552902183566 52.38309264911331, 4.751500631268035 52.38309264911331, 4.751500631268035 52.381290847311504, 4.748552902183566 52.381290847311504))"
2098,"POLYGON ((4.748552902183566 52.38309264911331, 4.748552902183566 52.38489445091511, 4.751500631268035 52.38489445091511, 4.751500631268035 52.38309264911331, 4.748552902183566 52.38309264911331))"
2099,"POLYGON ((4.748552902183566 52.38489445091511, 4.748552902183566 52.386696252716916, 4.751500631268035 52.386696252716916, 4.751500631268035 52.38489445091511, 4.748552902183566 52.38489445091511))"
2100,"POLYGON ((4.748552902183566 52.386696252716916, 4.748552902183566 52.38849805451872, 4.751500631268035 52.38849805451872, 4.751500631268035 52.386696252716916, 4.748552902183566 52.386696252716916))"
2101,"POLYGON ((4.748552902183566 52.38849805451872, 4.748552902183566 52.390299856320524, 4.751500631268035 52.390299856320524, 4.751500631268035 52.38849805451872, 4.748552902183566 52.38849805451872))"
2102,"POLYGON ((4.748552902183566 52.390299856320524, 4.748552902183566 52.39210165812233, 4.751500631268035 52.39210165812233, 4.751500631268035 52.390299856320524, 4.748552902183566 52.390299856320524))"
2103,"POLYGON ((4.748552902183566 52.39210165812233, 4.748552902183566 52.39390345992413, 4.751500631268035 52.39390345992413, 4.751500631268035 52.39210165812233, 4.748552902183566 52.39210165812233))"
2104,"POLYGON ((4.748552902183566 52.39390345992413, 4.748552902183566 52.39570526172594, 4.751500631268035 52.39570526172594, 4.751500631268035 52.39390345992413, 4.748552902183566 52.39390345992413))"
2105,"POLYGON ((4.748552902183566 52.39570526172594, 4.748552902183566 52.39750706352774, 4.751500631268035 52.39750706352774, 4.751500631268035 52.39570526172594, 4.748552902183566 52.39570526172594))"
2106,"POLYGON ((4.748552902183566 52.39750706352774, 4.748552902183566 52.399308865329544, 4.751500631268035 52.399308865329544, 4.751500631268035 52.39750706352774, 4.748552902183566 52.39750706352774))"
2107,"POLYGON ((4.748552902183566 52.399308865329544, 4.748552902183566 52.40111066713135, 4.751500631268035 52.40111066713135, 4.751500631268035 52.399308865329544, 4.748552902183566 52.399308865329544))"
2108,"POLYGON ((4.748552902183566 52.40111066713135, 4.748552902183566 52.40291246893315, 4.751500631268035 52.40291246893315, 4.751500631268035 52.40111066713135, 4.748552902183566 52.40111066713135))"
2109,"POLYGON ((4.748552902183566 52.40291246893315, 4.748552902183566 52.40471427073496, 4.751500631268035 52.40471427073496, 4.751500631268035 52.40291246893315, 4.748552902183566 52.40291246893315))"
2110,"POLYGON ((4.748552902183566 52.40471427073496, 4.748552902183566 52.40651607253676, 4.751500631268035 52.40651607253676, 4.751500631268035 52.40471427073496, 4.748552902183566 52.40471427073496))"
2111,"POLYGON ((4.748552902183566 52.40651607253676, 4.748552902183566 52.408317874338564, 4.751500631268035 52.408317874338564, 4.751500631268035 52.40651607253676, 4.748552902183566 52.40651607253676))"
2112,"POLYGON ((4.748552902183566 52.408317874338564, 4.748552902183566 52.41011967614037, 4.751500631268035 52.41011967614037, 4.751500631268035 52.408317874338564, 4.748552902183566 52.408317874338564))"
2113,"POLYGON ((4.748552902183566 52.41011967614037, 4.748552902183566 52.41192147794217, 4.751500631268035 52.41192147794217, 4.751500631268035 52.41011967614037, 4.748552902183566 52.41011967614037))"
2114,"POLYGON ((4.748552902183566 52.41192147794217, 4.748552902183566 52.41372327974398, 4.751500631268035 52.41372327974398, 4.751500631268035 52.41192147794217, 4.748552902183566 52.41192147794217))"
2115,"POLYGON ((4.748552902183566 52.41372327974398, 4.748552902183566 52.41552508154578, 4.751500631268035 52.41552508154578, 4.751500631268035 52.41372327974398, 4.748552902183566 52.41372327974398))"
2116,"POLYGON ((4.748552902183566 52.41552508154578, 4.748552902183566 52.417326883347584, 4.751500631268035 52.417326883347584, 4.751500631268035 52.41552508154578, 4.748552902183566 52.41552508154578))"
2117,"POLYGON ((4.748552902183566 52.417326883347584, 4.748552902183566 52.41912868514939, 4.751500631268035 52.41912868514939, 4.751500631268035 52.417326883347584, 4.748552902183566 52.417326883347584))"
2118,"POLYGON ((4.748552902183566 52.41912868514939, 4.748552902183566 52.42093048695119, 4.751500631268035 52.42093048695119, 4.751500631268035 52.41912868514939, 4.748552902183566 52.41912868514939))"
2119,"POLYGON ((4.748552902183566 52.42093048695119, 4.748552902183566 52.422732288753, 4.751500631268035 52.422732288753, 4.751500631268035 52.42093048695119, 4.748552902183566 52.42093048695119))"
2120,"POLYGON ((4.748552902183566 52.422732288753, 4.748552902183566 52.4245340905548, 4.751500631268035 52.4245340905548, 4.751500631268035 52.422732288753, 4.748552902183566 52.422732288753))"
2121,"POLYGON ((4.748552902183566 52.4245340905548, 4.748552902183566 52.426335892356605, 4.751500631268035 52.426335892356605, 4.751500631268035 52.4245340905548, 4.748552902183566 52.4245340905548))"
2122,"POLYGON ((4.748552902183566 52.426335892356605, 4.748552902183566 52.42813769415841, 4.751500631268035 52.42813769415841, 4.751500631268035 52.426335892356605, 4.748552902183566 52.426335892356605))"
2123,"POLYGON ((4.748552902183566 52.42813769415841, 4.748552902183566 52.42993949596021, 4.751500631268035 52.42993949596021, 4.751500631268035 52.42813769415841, 4.748552902183566 52.42813769415841))"
2124,"POLYGON ((4.748552902183566 52.42993949596021, 4.748552902183566 52.43174129776202, 4.751500631268035 52.43174129776202, 4.751500631268035 52.42993949596021, 4.748552902183566 52.42993949596021))"
2125,"POLYGON ((4.751500631268035 52.206516072536516, 4.751500631268035 52.20831787433832, 4.754448360352504 52.20831787433832, 4.754448360352504 52.206516072536516, 4.751500631268035 52.206516072536516))"
2126,"POLYGON ((4.751500631268035 52.20831787433832, 4.751500631268035 52.210119676140124, 4.754448360352504 52.210119676140124, 4.754448360352504 52.20831787433832, 4.751500631268035 52.20831787433832))"
2127,"POLYGON ((4.751500631268035 52.210119676140124, 4.751500631268035 52.21192147794193, 4.754448360352504 52.21192147794193, 4.754448360352504 52.210119676140124, 4.751500631268035 52.210119676140124))"
2128,"POLYGON ((4.751500631268035 52.21192147794193, 4.751500631268035 52.21372327974373, 4.754448360352504 52.21372327974373, 4.754448360352504 52.21192147794193, 4.751500631268035 52.21192147794193))"
2129,"POLYGON ((4.751500631268035 52.21372327974373, 4.751500631268035 52.215525081545536, 4.754448360352504 52.215525081545536, 4.754448360352504 52.21372327974373, 4.751500631268035 52.21372327974373))"
2130,"POLYGON ((4.751500631268035 52.215525081545536, 4.751500631268035 52.21732688334734, 4.754448360352504 52.21732688334734, 4.754448360352504 52.215525081545536, 4.751500631268035 52.215525081545536))"
2131,"POLYGON ((4.751500631268035 52.21732688334734, 4.751500631268035 52.219128685149144, 4.754448360352504 52.219128685149144, 4.754448360352504 52.21732688334734, 4.751500631268035 52.21732688334734))"
2132,"POLYGON ((4.751500631268035 52.219128685149144, 4.751500631268035 52.22093048695095, 4.754448360352504 52.22093048695095, 4.754448360352504 52.219128685149144, 4.751500631268035 52.219128685149144))"
2133,"POLYGON ((4.751500631268035 52.22093048695095, 4.751500631268035 52.22273228875275, 4.754448360352504 52.22273228875275, 4.754448360352504 52.22093048695095, 4.751500631268035 52.22093048695095))"
2134,"POLYGON ((4.751500631268035 52.22273228875275, 4.751500631268035 52.224534090554556, 4.754448360352504 52.224534090554556, 4.754448360352504 52.22273228875275, 4.751500631268035 52.22273228875275))"
2135,"POLYGON ((4.751500631268035 52.224534090554556, 4.751500631268035 52.22633589235636, 4.754448360352504 52.22633589235636, 4.754448360352504 52.224534090554556, 4.751500631268035 52.224534090554556))"
2136,"POLYGON ((4.751500631268035 52.22633589235636, 4.751500631268035 52.228137694158164, 4.754448360352504 52.228137694158164, 4.754448360352504 52.22633589235636, 4.751500631268035 52.22633589235636))"
2137,"POLYGON ((4.751500631268035 52.228137694158164, 4.751500631268035 52.22993949595997, 4.754448360352504 52.22993949595997, 4.754448360352504 52.228137694158164, 4.751500631268035 52.228137694158164))"
2138,"POLYGON ((4.751500631268035 52.22993949595997, 4.751500631268035 52.23174129776177, 4.754448360352504 52.23174129776177, 4.754448360352504 52.22993949595997, 4.751500631268035 52.22993949595997))"
