Date,Hour,has_roadsign,Gemiddelde hoogte onderkant bord,Gemiddelde kijkrichting,Scheiding,Buispaal,Flespaal,Lichtmast,Overig,Mast,Bouwwerk,Portaal,Hekwerk,VRI-Mast,Muur,grid_id,LON,LAT,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2018-09-21,19,True,2.51,206.732,0.0,3.0,25.0,3.0,8.0,11.0,1.0,0.0,0.0,0.0,0.0,7465,4.8767791173579695,52.36957913559978,12.324,79.207146,8.824,7.9157124,1.9,1.9,0.0,0.0,61.0,1009.8,1009.55835,63.6,37.0,40.0,21.0,0.041124076,0.29833007,28.1169,45.891174,256.67545,258.6901,62.639996,14.724,17.324001,15.924,13.874,0.617,0.546,0.494,0.623
2022-02-19,10,True,2.03,173.907,0.0,1.0,26.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7702,4.8826745755269085,52.346155712176326,6.424,60.912285,-0.57600003,-0.29535818,0.0,0.0,0.0,0.0,0.0,1010.9,1010.653,7.5000005,0.0,0.0,25.0,0.12893428,0.37725157,30.911821,45.31569,255.1545,255.74294,55.44,6.174,7.274,7.624,9.874,0.704,0.714,0.701,0.679
2008-09-21,18,True,1.872,203.5,0.0,1.0,7.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3216,4.776556328486022,52.37138093740158,13.856501,81.03234,10.6565,12.121189,0.0,0.0,0.0,0.0,2.0,1025.1,1025.222,52.2,4.0,76.0,10.0,0.03701578,0.30073893,13.32,22.33161,18.924751,20.772345,19.8,14.5065,13.7565,14.606501,13.7065,0.528,0.538,0.517,0.561
2019-03-17,2,True,2.007,113.286,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1615,4.738235850387925,52.41462418064488,8.8695,82.31781,6.0195,1.8782606,0.7,0.7,0.0,0.0,53.0,993.4,993.5202,100.0,100.0,100.0,99.0,0.03704062,0.20160574,41.117294,62.722702,220.38358,221.74269,75.24,8.7195,8.3695,7.3195,7.4694996,0.417,0.416,0.414,0.378
2017-08-03,18,True,2.334,167.114,0.0,8.0,10.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7219,4.870883659189032,52.37678634280699,18.524,70.80596,13.124,14.654522,0.0,0.0,0.0,0.0,0.0,1008.1,1007.7457,5.3999996,6.0,0.0,0.0,0.15388542,0.62301767,33.342297,52.70405,232.01645,233.05174,63.72,20.074001,18.324001,16.474,12.574,0.615,0.583,0.484,0.611
2020-02-09,18,True,2.486,206.161,0.0,17.0,19.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6221,4.84730182651328,52.38038994641061,11.211,86.90847,9.111,3.3990917,0.8,0.8,0.0,0.0,53.0,984.6,984.0089,100.0,100.0,100.0,10.0,0.033553522,0.17454171,51.984802,82.09263,216.55257,217.87505,120.95999,8.861,6.661,7.411,10.261001,0.695,0.68,0.686,0.653
2022-02-18,17,True,2.484,199.554,0.0,0.0,61.0,11.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,7832,4.885622304611378,52.35516472118534,7.2545004,70.54994,2.2545,-1.7005563,0.2,0.2,0.0,0.0,51.0,986.7,986.0993,57.300003,35.0,43.0,0.0,0.072655454,0.30090433,49.40401,77.5706,247.73337,249.6306,104.03999,8.3545,7.9545,7.5545,9.8545,0.727,0.72,0.7,0.679
2020-02-24,19,True,2.016,161.813,7.0,7.0,63.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4827,4.814876806584119,52.346155712176326,9.837001,88.26393,7.987,3.895152,0.1,0.1,0.0,0.0,51.0,1001.0,1001.0,100.0,100.0,6.0,98.0,0.021123169,0.14279485,37.14286,58.23215,236.46393,237.882,68.4,8.137,7.287,7.937,9.937,0.746,0.75,0.72,0.683
2012-11-25,6,True,2.131,263.9,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11100,4.962263260807573,52.38759715361782,11.9805,80.235435,8.6805,5.3586884,0.0,0.0,0.0,0.0,3.0,998.0,997.88055,100.0,100.0,16.0,31.0,0.051137075,0.2772466,43.034687,66.65835,199.04132,200.88208,73.799995,8.6305,7.2305,9.1305,12.1805,0.7,0.685,0.683,0.657
2022-05-11,20,True,2.161,187.449,0.0,29.0,17.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10429,4.947524615385228,52.304714270734834,14.013,86.31638,11.763,9.956885,0.1,0.1,0.0,0.0,51.0,1009.0,1009.4806,100.0,100.0,86.0,0.0,0.04445501,0.21915913,31.559086,48.8341,244.3119,246.08038,57.6,15.013,14.263,10.863,9.113,0.476,0.474,0.547,0.661
2020-02-09,16,True,2.467,210.171,3.0,49.0,1.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7089,4.867935930104563,52.367777333797974,11.248,77.979294,7.548,2.6684237,0.6,0.6,0.0,0.0,53.0,988.0,987.2883,100.0,100.0,100.0,94.0,0.07788732,0.29432356,54.477882,84.09064,209.27516,210.62714,99.72,8.848,6.598,7.498,10.248,0.678,0.679,0.69,0.672
