grid_id,service_area,geometry,has_roadsign,Gemiddelde hoogte onderkant bord,Gemiddelde kijkrichting,Scheiding,Buispaal,Flespaal,Lichtmast,Overig,Mast,Bouwwerk,Portaal,Hekwerk,VRI-Mast,Muur
18,Aalsmeer,"POLYGON ((4.701389236832061 52.24075030677079, 4.70433696591653 52.24075030677079, 4.70433696591653 52.23894850496899, 4.701389236832061 52.23894850496899, 4.701389236832061 52.24075030677079))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Aalsmeer,"POLYGON ((4.701389236832061 52.242552108572596, 4.70433696591653 52.242552108572596, 4.70433696591653 52.24075030677079, 4.701389236832061 52.24075030677079, 4.701389236832061 52.242552108572596))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Aalsmeer,"POLYGON ((4.701389236832061 52.2443539103744, 4.70433696591653 52.2443539103744, 4.70433696591653 52.242552108572596, 4.701389236832061 52.242552108572596, 4.701389236832061 52.2443539103744))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Aalsmeer,"POLYGON ((4.70433696591653 52.23534490136538, 4.707284695000999 52.23534490136538, 4.707284695000999 52.233543099563576, 4.70433696591653 52.233543099563576, 4.70433696591653 52.23534490136538))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Aalsmeer,"POLYGON ((4.70433696591653 52.237146703167184, 4.707284695000999 52.237146703167184, 4.707284695000999 52.23534490136538, 4.70433696591653 52.23534490136538, 4.70433696591653 52.237146703167184))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Aalsmeer,"POLYGON ((4.70433696591653 52.23894850496899, 4.707284695000999 52.23894850496899, 4.707284695000999 52.237146703167184, 4.70433696591653 52.237146703167184, 4.70433696591653 52.23894850496899))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Aalsmeer,"POLYGON ((4.70433696591653 52.24075030677079, 4.707284695000999 52.24075030677079, 4.707284695000999 52.23894850496899, 4.70433696591653 52.23894850496899, 4.70433696591653 52.24075030677079))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Aalsmeer,"POLYGON ((4.70433696591653 52.242552108572596, 4.707284695000999 52.242552108572596, 4.707284695000999 52.24075030677079, 4.70433696591653 52.24075030677079, 4.70433696591653 52.242552108572596))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Aalsmeer,"POLYGON ((4.70433696591653 52.2443539103744, 4.707284695000999 52.2443539103744, 4.707284695000999 52.242552108572596, 4.70433696591653 52.242552108572596, 4.70433696591653 52.2443539103744))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Aalsmeer,"POLYGON ((4.70433696591653 52.246155712176204, 4.707284695000999 52.246155712176204, 4.707284695000999 52.2443539103744, 4.70433696591653 52.2443539103744, 4.70433696591653 52.246155712176204))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,Aalsmeer,"POLYGON ((4.70433696591653 52.24795751397801, 4.707284695000999 52.24795751397801, 4.707284695000999 52.246155712176204, 4.70433696591653 52.246155712176204, 4.70433696591653 52.24795751397801))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,Aalsmeer,"POLYGON ((4.707284695000999 52.23534490136538, 4.7102324240854685 52.23534490136538, 4.7102324240854685 52.233543099563576, 4.707284695000999 52.233543099563576, 4.707284695000999 52.23534490136538))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,Aalsmeer,"POLYGON ((4.707284695000999 52.237146703167184, 4.7102324240854685 52.237146703167184, 4.7102324240854685 52.23534490136538, 4.707284695000999 52.23534490136538, 4.707284695000999 52.237146703167184))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,Aalsmeer,"POLYGON ((4.707284695000999 52.23894850496899, 4.7102324240854685 52.23894850496899, 4.7102324240854685 52.237146703167184, 4.707284695000999 52.237146703167184, 4.707284695000999 52.23894850496899))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,Aalsmeer,"POLYGON ((4.707284695000999 52.24075030677079, 4.7102324240854685 52.24075030677079, 4.7102324240854685 52.23894850496899, 4.707284695000999 52.23894850496899, 4.707284695000999 52.24075030677079))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,Aalsmeer,"POLYGON ((4.707284695000999 52.242552108572596, 4.7102324240854685 52.242552108572596, 4.7102324240854685 52.24075030677079, 4.707284695000999 52.24075030677079, 4.707284695000999 52.242552108572596))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,Aalsmeer,"POLYGON ((4.707284695000999 52.2443539103744, 4.7102324240854685 52.2443539103744, 4.7102324240854685 52.242552108572596, 4.707284695000999 52.242552108572596, 4.707284695000999 52.2443539103744))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
