,id,service_area,geometry
651,651,Aalsmeer,"POLYGON ((4.716127882254407 52.255164721185224, 4.719075611338876 52.255164721185224, 4.719075611338876 52.25336291938342, 4.716127882254407 52.25336291938342, 4.716127882254407 52.255164721185224))"
652,652,Aalsmeer,"POLYGON ((4.716127882254407 52.25696652298703, 4.719075611338876 52.25696652298703, 4.719075611338876 52.255164721185224, 4.716127882254407 52.255164721185224, 4.716127882254407 52.25696652298703))"
764,764,Aalsmeer,"POLYGON ((4.719075611338876 52.233543099563576, 4.722023340423345 52.233543099563576, 4.722023340423345 52.23174129776177, 4.719075611338876 52.23174129776177, 4.719075611338876 52.233543099563576))"
765,765,Aalsmeer,"POLYGON ((4.719075611338876 52.23534490136538, 4.722023340423345 52.23534490136538, 4.722023340423345 52.233543099563576, 4.719075611338876 52.233543099563576, 4.719075611338876 52.23534490136538))"
766,766,Aalsmeer,"POLYGON ((4.719075611338876 52.237146703167184, 4.722023340423345 52.237146703167184, 4.722023340423345 52.23534490136538, 4.719075611338876 52.23534490136538, 4.719075611338876 52.237146703167184))"
767,767,Aalsmeer,"POLYGON ((4.719075611338876 52.23894850496899, 4.722023340423345 52.23894850496899, 4.722023340423345 52.237146703167184, 4.719075611338876 52.237146703167184, 4.719075611338876 52.23894850496899))"
768,768,Aalsmeer,"POLYGON ((4.719075611338876 52.24075030677079, 4.722023340423345 52.24075030677079, 4.722023340423345 52.23894850496899, 4.719075611338876 52.23894850496899, 4.719075611338876 52.24075030677079))"
769,769,Aalsmeer,"POLYGON ((4.719075611338876 52.242552108572596, 4.722023340423345 52.242552108572596, 4.722023340423345 52.24075030677079, 4.719075611338876 52.24075030677079, 4.719075611338876 52.242552108572596))"
770,770,Aalsmeer,"POLYGON ((4.719075611338876 52.2443539103744, 4.722023340423345 52.2443539103744, 4.722023340423345 52.242552108572596, 4.719075611338876 52.242552108572596, 4.719075611338876 52.2443539103744))"
771,771,Aalsmeer,"POLYGON ((4.719075611338876 52.246155712176204, 4.722023340423345 52.246155712176204, 4.722023340423345 52.2443539103744, 4.719075611338876 52.2443539103744, 4.719075611338876 52.246155712176204))"
772,772,Aalsmeer,"POLYGON ((4.719075611338876 52.24795751397801, 4.722023340423345 52.24795751397801, 4.722023340423345 52.246155712176204, 4.719075611338876 52.246155712176204, 4.719075611338876 52.24795751397801))"
773,773,Aalsmeer,"POLYGON ((4.719075611338876 52.24975931577981, 4.722023340423345 52.24975931577981, 4.722023340423345 52.24795751397801, 4.719075611338876 52.24795751397801, 4.719075611338876 52.24975931577981))"
774,774,Aalsmeer,"POLYGON ((4.719075611338876 52.251561117581616, 4.722023340423345 52.251561117581616, 4.722023340423345 52.24975931577981, 4.719075611338876 52.24975931577981, 4.719075611338876 52.251561117581616))"
775,775,Aalsmeer,"POLYGON ((4.719075611338876 52.25336291938342, 4.722023340423345 52.25336291938342, 4.722023340423345 52.251561117581616, 4.719075611338876 52.251561117581616, 4.719075611338876 52.25336291938342))"
776,776,Aalsmeer,"POLYGON ((4.719075611338876 52.255164721185224, 4.722023340423345 52.255164721185224, 4.722023340423345 52.25336291938342, 4.719075611338876 52.25336291938342, 4.719075611338876 52.255164721185224))"
777,777,Aalsmeer,"POLYGON ((4.719075611338876 52.25696652298703, 4.722023340423345 52.25696652298703, 4.722023340423345 52.255164721185224, 4.719075611338876 52.255164721185224, 4.719075611338876 52.25696652298703))"
778,778,Aalsmeer,"POLYGON ((4.719075611338876 52.25876832478883, 4.722023340423345 52.25876832478883, 4.722023340423345 52.25696652298703, 4.719075611338876 52.25696652298703, 4.719075611338876 52.25876832478883))"
880,880,Aalsmeer,"POLYGON ((4.722023340423345 52.21732688334734, 4.724971069507814 52.21732688334734, 4.724971069507814 52.215525081545536, 4.722023340423345 52.215525081545536, 4.722023340423345 52.21732688334734))"
882,882,Aalsmeer,"POLYGON ((4.722023340423345 52.22093048695095, 4.724971069507814 52.22093048695095, 4.724971069507814 52.219128685149144, 4.722023340423345 52.219128685149144, 4.722023340423345 52.22093048695095))"
883,883,Aalsmeer,"POLYGON ((4.722023340423345 52.22273228875275, 4.724971069507814 52.22273228875275, 4.724971069507814 52.22093048695095, 4.722023340423345 52.22093048695095, 4.722023340423345 52.22273228875275))"
884,884,Aalsmeer,"POLYGON ((4.722023340423345 52.224534090554556, 4.724971069507814 52.224534090554556, 4.724971069507814 52.22273228875275, 4.722023340423345 52.22273228875275, 4.722023340423345 52.224534090554556))"
885,885,Aalsmeer,"POLYGON ((4.722023340423345 52.22633589235636, 4.724971069507814 52.22633589235636, 4.724971069507814 52.224534090554556, 4.722023340423345 52.224534090554556, 4.722023340423345 52.22633589235636))"
889,889,Aalsmeer,"POLYGON ((4.722023340423345 52.233543099563576, 4.724971069507814 52.233543099563576, 4.724971069507814 52.23174129776177, 4.722023340423345 52.23174129776177, 4.722023340423345 52.233543099563576))"
890,890,Aalsmeer,"POLYGON ((4.722023340423345 52.23534490136538, 4.724971069507814 52.23534490136538, 4.724971069507814 52.233543099563576, 4.722023340423345 52.233543099563576, 4.722023340423345 52.23534490136538))"
891,891,Aalsmeer,"POLYGON ((4.722023340423345 52.237146703167184, 4.724971069507814 52.237146703167184, 4.724971069507814 52.23534490136538, 4.722023340423345 52.23534490136538, 4.722023340423345 52.237146703167184))"
892,892,Aalsmeer,"POLYGON ((4.722023340423345 52.23894850496899, 4.724971069507814 52.23894850496899, 4.724971069507814 52.237146703167184, 4.722023340423345 52.237146703167184, 4.722023340423345 52.23894850496899))"
893,893,Aalsmeer,"POLYGON ((4.722023340423345 52.24075030677079, 4.724971069507814 52.24075030677079, 4.724971069507814 52.23894850496899, 4.722023340423345 52.23894850496899, 4.722023340423345 52.24075030677079))"
894,894,Aalsmeer,"POLYGON ((4.722023340423345 52.242552108572596, 4.724971069507814 52.242552108572596, 4.724971069507814 52.24075030677079, 4.722023340423345 52.24075030677079, 4.722023340423345 52.242552108572596))"
895,895,Aalsmeer,"POLYGON ((4.722023340423345 52.2443539103744, 4.724971069507814 52.2443539103744, 4.724971069507814 52.242552108572596, 4.722023340423345 52.242552108572596, 4.722023340423345 52.2443539103744))"
896,896,Aalsmeer,"POLYGON ((4.722023340423345 52.246155712176204, 4.724971069507814 52.246155712176204, 4.724971069507814 52.2443539103744, 4.722023340423345 52.2443539103744, 4.722023340423345 52.246155712176204))"
897,897,Aalsmeer,"POLYGON ((4.722023340423345 52.24795751397801, 4.724971069507814 52.24795751397801, 4.724971069507814 52.246155712176204, 4.722023340423345 52.246155712176204, 4.722023340423345 52.24795751397801))"
898,898,Aalsmeer,"POLYGON ((4.722023340423345 52.24975931577981, 4.724971069507814 52.24975931577981, 4.724971069507814 52.24795751397801, 4.722023340423345 52.24795751397801, 4.722023340423345 52.24975931577981))"
899,899,Aalsmeer,"POLYGON ((4.722023340423345 52.251561117581616, 4.724971069507814 52.251561117581616, 4.724971069507814 52.24975931577981, 4.722023340423345 52.24975931577981, 4.722023340423345 52.251561117581616))"
900,900,Aalsmeer,"POLYGON ((4.722023340423345 52.25336291938342, 4.724971069507814 52.25336291938342, 4.724971069507814 52.251561117581616, 4.722023340423345 52.251561117581616, 4.722023340423345 52.25336291938342))"
901,901,Aalsmeer,"POLYGON ((4.722023340423345 52.255164721185224, 4.724971069507814 52.255164721185224, 4.724971069507814 52.25336291938342, 4.722023340423345 52.25336291938342, 4.722023340423345 52.255164721185224))"
902,902,Aalsmeer,"POLYGON ((4.722023340423345 52.25696652298703, 4.724971069507814 52.25696652298703, 4.724971069507814 52.255164721185224, 4.722023340423345 52.255164721185224, 4.722023340423345 52.25696652298703))"
903,903,Aalsmeer,"POLYGON ((4.722023340423345 52.25876832478883, 4.724971069507814 52.25876832478883, 4.724971069507814 52.25696652298703, 4.722023340423345 52.25696652298703, 4.722023340423345 52.25876832478883))"
904,904,Aalsmeer,"POLYGON ((4.722023340423345 52.260570126590636, 4.724971069507814 52.260570126590636, 4.724971069507814 52.25876832478883, 4.722023340423345 52.25876832478883, 4.722023340423345 52.260570126590636))"
1003,1003,Aalsmeer,"POLYGON ((4.724971069507814 52.21372327974373, 4.727918798592283 52.21372327974373, 4.727918798592283 52.21192147794193, 4.724971069507814 52.21192147794193, 4.724971069507814 52.21372327974373))"
1004,1004,Aalsmeer,"POLYGON ((4.724971069507814 52.215525081545536, 4.727918798592283 52.215525081545536, 4.727918798592283 52.21372327974373, 4.724971069507814 52.21372327974373, 4.724971069507814 52.215525081545536))"
1005,1005,Aalsmeer,"POLYGON ((4.724971069507814 52.21732688334734, 4.727918798592283 52.21732688334734, 4.727918798592283 52.215525081545536, 4.724971069507814 52.215525081545536, 4.724971069507814 52.21732688334734))"
1006,1006,Aalsmeer,"POLYGON ((4.724971069507814 52.219128685149144, 4.727918798592283 52.219128685149144, 4.727918798592283 52.21732688334734, 4.724971069507814 52.21732688334734, 4.724971069507814 52.219128685149144))"
1007,1007,Aalsmeer,"POLYGON ((4.724971069507814 52.22093048695095, 4.727918798592283 52.22093048695095, 4.727918798592283 52.219128685149144, 4.724971069507814 52.219128685149144, 4.724971069507814 52.22093048695095))"
1008,1008,Aalsmeer,"POLYGON ((4.724971069507814 52.22273228875275, 4.727918798592283 52.22273228875275, 4.727918798592283 52.22093048695095, 4.724971069507814 52.22093048695095, 4.724971069507814 52.22273228875275))"
1009,1009,Aalsmeer,"POLYGON ((4.724971069507814 52.224534090554556, 4.727918798592283 52.224534090554556, 4.727918798592283 52.22273228875275, 4.724971069507814 52.22273228875275, 4.724971069507814 52.224534090554556))"
1010,1010,Aalsmeer,"POLYGON ((4.724971069507814 52.22633589235636, 4.727918798592283 52.22633589235636, 4.727918798592283 52.224534090554556, 4.724971069507814 52.224534090554556, 4.724971069507814 52.22633589235636))"
1011,1011,Aalsmeer,"POLYGON ((4.724971069507814 52.228137694158164, 4.727918798592283 52.228137694158164, 4.727918798592283 52.22633589235636, 4.724971069507814 52.22633589235636, 4.724971069507814 52.228137694158164))"
1012,1012,Aalsmeer,"POLYGON ((4.724971069507814 52.22993949595997, 4.727918798592283 52.22993949595997, 4.727918798592283 52.228137694158164, 4.724971069507814 52.228137694158164, 4.724971069507814 52.22993949595997))"
1013,1013,Aalsmeer,"POLYGON ((4.724971069507814 52.23174129776177, 4.727918798592283 52.23174129776177, 4.727918798592283 52.22993949595997, 4.724971069507814 52.22993949595997, 4.724971069507814 52.23174129776177))"
1014,1014,Aalsmeer,"POLYGON ((4.724971069507814 52.233543099563576, 4.727918798592283 52.233543099563576, 4.727918798592283 52.23174129776177, 4.724971069507814 52.23174129776177, 4.724971069507814 52.233543099563576))"
1015,1015,Aalsmeer,"POLYGON ((4.724971069507814 52.23534490136538, 4.727918798592283 52.23534490136538, 4.727918798592283 52.233543099563576, 4.724971069507814 52.233543099563576, 4.724971069507814 52.23534490136538))"
1016,1016,Aalsmeer,"POLYGON ((4.724971069507814 52.237146703167184, 4.727918798592283 52.237146703167184, 4.727918798592283 52.23534490136538, 4.724971069507814 52.23534490136538, 4.724971069507814 52.237146703167184))"
1017,1017,Aalsmeer,"POLYGON ((4.724971069507814 52.23894850496899, 4.727918798592283 52.23894850496899, 4.727918798592283 52.237146703167184, 4.724971069507814 52.237146703167184, 4.724971069507814 52.23894850496899))"
1018,1018,Aalsmeer,"POLYGON ((4.724971069507814 52.24075030677079, 4.727918798592283 52.24075030677079, 4.727918798592283 52.23894850496899, 4.724971069507814 52.23894850496899, 4.724971069507814 52.24075030677079))"
1019,1019,Aalsmeer,"POLYGON ((4.724971069507814 52.242552108572596, 4.727918798592283 52.242552108572596, 4.727918798592283 52.24075030677079, 4.724971069507814 52.24075030677079, 4.724971069507814 52.242552108572596))"
1020,1020,Aalsmeer,"POLYGON ((4.724971069507814 52.2443539103744, 4.727918798592283 52.2443539103744, 4.727918798592283 52.242552108572596, 4.724971069507814 52.242552108572596, 4.724971069507814 52.2443539103744))"
1021,1021,Aalsmeer,"POLYGON ((4.724971069507814 52.246155712176204, 4.727918798592283 52.246155712176204, 4.727918798592283 52.2443539103744, 4.724971069507814 52.2443539103744, 4.724971069507814 52.246155712176204))"
1022,1022,Aalsmeer,"POLYGON ((4.724971069507814 52.24795751397801, 4.727918798592283 52.24795751397801, 4.727918798592283 52.246155712176204, 4.724971069507814 52.246155712176204, 4.724971069507814 52.24795751397801))"
1023,1023,Aalsmeer,"POLYGON ((4.724971069507814 52.24975931577981, 4.727918798592283 52.24975931577981, 4.727918798592283 52.24795751397801, 4.724971069507814 52.24795751397801, 4.724971069507814 52.24975931577981))"
1024,1024,Aalsmeer,"POLYGON ((4.724971069507814 52.251561117581616, 4.727918798592283 52.251561117581616, 4.727918798592283 52.24975931577981, 4.724971069507814 52.24975931577981, 4.724971069507814 52.251561117581616))"
1025,1025,Aalsmeer,"POLYGON ((4.724971069507814 52.25336291938342, 4.727918798592283 52.25336291938342, 4.727918798592283 52.251561117581616, 4.724971069507814 52.251561117581616, 4.724971069507814 52.25336291938342))"
1026,1026,Aalsmeer,"POLYGON ((4.724971069507814 52.255164721185224, 4.727918798592283 52.255164721185224, 4.727918798592283 52.25336291938342, 4.724971069507814 52.25336291938342, 4.724971069507814 52.255164721185224))"
1027,1027,Aalsmeer,"POLYGON ((4.724971069507814 52.25696652298703, 4.727918798592283 52.25696652298703, 4.727918798592283 52.255164721185224, 4.724971069507814 52.255164721185224, 4.724971069507814 52.25696652298703))"
1028,1028,Aalsmeer,"POLYGON ((4.724971069507814 52.25876832478883, 4.727918798592283 52.25876832478883, 4.727918798592283 52.25696652298703, 4.724971069507814 52.25696652298703, 4.724971069507814 52.25876832478883))"
1029,1029,Aalsmeer,"POLYGON ((4.724971069507814 52.260570126590636, 4.727918798592283 52.260570126590636, 4.727918798592283 52.25876832478883, 4.724971069507814 52.25876832478883, 4.724971069507814 52.260570126590636))"
1030,1030,Aalsmeer,"POLYGON ((4.724971069507814 52.26237192839244, 4.727918798592283 52.26237192839244, 4.727918798592283 52.260570126590636, 4.724971069507814 52.260570126590636, 4.724971069507814 52.26237192839244))"
1031,1031,Aalsmeer,"POLYGON ((4.724971069507814 52.264173730194244, 4.727918798592283 52.264173730194244, 4.727918798592283 52.26237192839244, 4.724971069507814 52.26237192839244, 4.724971069507814 52.264173730194244))"
1127,1127,Aalsmeer,"POLYGON ((4.727918798592283 52.21192147794193, 4.730866527676752 52.21192147794193, 4.730866527676752 52.210119676140124, 4.727918798592283 52.210119676140124, 4.727918798592283 52.21192147794193))"
1128,1128,Aalsmeer,"POLYGON ((4.727918798592283 52.21372327974373, 4.730866527676752 52.21372327974373, 4.730866527676752 52.21192147794193, 4.727918798592283 52.21192147794193, 4.727918798592283 52.21372327974373))"
1129,1129,Aalsmeer,"POLYGON ((4.727918798592283 52.215525081545536, 4.730866527676752 52.215525081545536, 4.730866527676752 52.21372327974373, 4.727918798592283 52.21372327974373, 4.727918798592283 52.215525081545536))"
1130,1130,Aalsmeer,"POLYGON ((4.727918798592283 52.21732688334734, 4.730866527676752 52.21732688334734, 4.730866527676752 52.215525081545536, 4.727918798592283 52.215525081545536, 4.727918798592283 52.21732688334734))"
1131,1131,Aalsmeer,"POLYGON ((4.727918798592283 52.219128685149144, 4.730866527676752 52.219128685149144, 4.730866527676752 52.21732688334734, 4.727918798592283 52.21732688334734, 4.727918798592283 52.219128685149144))"
1132,1132,Aalsmeer,"POLYGON ((4.727918798592283 52.22093048695095, 4.730866527676752 52.22093048695095, 4.730866527676752 52.219128685149144, 4.727918798592283 52.219128685149144, 4.727918798592283 52.22093048695095))"
1133,1133,Aalsmeer,"POLYGON ((4.727918798592283 52.22273228875275, 4.730866527676752 52.22273228875275, 4.730866527676752 52.22093048695095, 4.727918798592283 52.22093048695095, 4.727918798592283 52.22273228875275))"
