grid_id,service_area,geometry,has_tree,avg_height,avg_diameter,avg_year,Populus,Acer,Fraxinus,Alnus,Salix,Ulmus,Tilia,Onbekend,Quercus,Robinia,Betula,Crataegus,Carpinus,Overig,Prunus,Platanus,Malus,has_trees
18,Aalsmeer,"POLYGON ((4.701389236832061 52.24075030677079, 4.70433696591653 52.24075030677079, 4.70433696591653 52.23894850496899, 4.701389236832061 52.23894850496899, 4.701389236832061 52.24075030677079))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
19,Aalsmeer,"POLYGON ((4.701389236832061 52.242552108572596, 4.70433696591653 52.242552108572596, 4.70433696591653 52.24075030677079, 4.701389236832061 52.24075030677079, 4.701389236832061 52.242552108572596))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
20,Aalsmeer,"POLYGON ((4.701389236832061 52.2443539103744, 4.70433696591653 52.2443539103744, 4.70433696591653 52.242552108572596, 4.701389236832061 52.242552108572596, 4.701389236832061 52.2443539103744))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
140,Aalsmeer,"POLYGON ((4.70433696591653 52.23534490136538, 4.707284695000999 52.23534490136538, 4.707284695000999 52.233543099563576, 4.70433696591653 52.233543099563576, 4.70433696591653 52.23534490136538))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
141,Aalsmeer,"POLYGON ((4.70433696591653 52.237146703167184, 4.707284695000999 52.237146703167184, 4.707284695000999 52.23534490136538, 4.70433696591653 52.23534490136538, 4.70433696591653 52.237146703167184))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
142,Aalsmeer,"POLYGON ((4.70433696591653 52.23894850496899, 4.707284695000999 52.23894850496899, 4.707284695000999 52.237146703167184, 4.70433696591653 52.237146703167184, 4.70433696591653 52.23894850496899))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
143,Aalsmeer,"POLYGON ((4.70433696591653 52.24075030677079, 4.707284695000999 52.24075030677079, 4.707284695000999 52.23894850496899, 4.70433696591653 52.23894850496899, 4.70433696591653 52.24075030677079))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
144,Aalsmeer,"POLYGON ((4.70433696591653 52.242552108572596, 4.707284695000999 52.242552108572596, 4.707284695000999 52.24075030677079, 4.70433696591653 52.24075030677079, 4.70433696591653 52.242552108572596))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
145,Aalsmeer,"POLYGON ((4.70433696591653 52.2443539103744, 4.707284695000999 52.2443539103744, 4.707284695000999 52.242552108572596, 4.70433696591653 52.242552108572596, 4.70433696591653 52.2443539103744))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
146,Aalsmeer,"POLYGON ((4.70433696591653 52.246155712176204, 4.707284695000999 52.246155712176204, 4.707284695000999 52.2443539103744, 4.70433696591653 52.2443539103744, 4.70433696591653 52.246155712176204))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
147,Aalsmeer,"POLYGON ((4.70433696591653 52.24795751397801, 4.707284695000999 52.24795751397801, 4.707284695000999 52.246155712176204, 4.70433696591653 52.246155712176204, 4.70433696591653 52.24795751397801))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
265,Aalsmeer,"POLYGON ((4.707284695000999 52.23534490136538, 4.7102324240854685 52.23534490136538, 4.7102324240854685 52.233543099563576, 4.707284695000999 52.233543099563576, 4.707284695000999 52.23534490136538))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
266,Aalsmeer,"POLYGON ((4.707284695000999 52.237146703167184, 4.7102324240854685 52.237146703167184, 4.7102324240854685 52.23534490136538, 4.707284695000999 52.23534490136538, 4.707284695000999 52.237146703167184))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
267,Aalsmeer,"POLYGON ((4.707284695000999 52.23894850496899, 4.7102324240854685 52.23894850496899, 4.7102324240854685 52.237146703167184, 4.707284695000999 52.237146703167184, 4.707284695000999 52.23894850496899))",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
