Date,Hour,has_roadsign,Gemiddelde hoogte onderkant bord,Gemiddelde kijkrichting,Scheiding,Buispaal,Flespaal,Lichtmast,Overig,Mast,Bouwwerk,Portaal,Hekwerk,VRI-Mast,Muur,grid_id,LON,LAT,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2023-09-18,11,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724,4.717601746796642,52.385795351816014,21.05,75.01097,16.45,19.210102,0.1,0.1,0.0,0.0,51.0,1002.4,1002.1673,13.5,9.0,9.0,0.0,0.2924596,0.6234412,28.00837,39.09606,217.16455,216.76447,54.719997,20.0,18.05,17.95,16.3,0.383,0.358,0.292,0.345
2022-06-06,22,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9882,4.935733699047351,52.220029586050046,12.4,93.00412,11.3,10.757107,0.0,0.0,0.0,0.0,3.0,1012.9,1013.14246,100.0,90.0,100.0,100.0,0.0,0.100866795,14.021525,23.185787,228.12221,233.84172,23.4,12.6,14.5,12.95,9.85,0.682,0.638,0.544,0.661
2023-12-06,22,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3678,4.788347244823899,52.30291246893303,-0.0805,93.99783,-0.9305,-2.9105704,0.0,0.0,0.0,0.01,1.0,1019.1,1019.738,36.0,40.0,0.0,0.0,0.0,0.03657639,3.8773184,1.609969,201.80147,206.56499,6.12,0.86950004,3.7195,7.9195,13.1195,0.699,0.708,0.717,0.685
2022-11-29,8,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13186,5.012374655243546,52.31732688334747,5.1064997,98.27419,4.8564997,3.4258003,0.0,0.0,0.0,0.0,3.0,1017.9,1018.275,100.0,100.0,54.0,20.0,0.0075694867,0.015205622,2.968636,9.6932955,255.96373,344.93146,6.4799995,5.3065,7.6064997,10.0065,13.356501,0.678,0.674,0.572,0.599
2023-08-27,14,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4433,4.806033619330712,52.31192147794205,16.5195,74.49345,11.9695,14.105394,0.1,0.1,0.0,0.0,51.0,1008.3,1008.8946,82.200005,55.0,53.0,3.0,0.26897746,0.47976065,20.880001,28.082308,270.0,270.7345,42.12,18.469501,17.1695,16.719501,12.8195,0.666,0.619,0.531,0.64
2023-04-25,20,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9783,4.9327859699628815,52.26687643289695,4.5065,78.303925,1.0565,1.324902,0.0,0.0,0.0,0.0,0.0,1018.9,1019.1509,8.099999,9.0,0.0,0.0,0.0050798664,0.1833219,8.404285,19.681828,313.26434,320.1945,17.64,8.4565,9.5065,9.1565,9.0065,0.699,0.711,0.693,0.68
2023-01-17,17,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15350,5.062486049679521,52.38759715361782,-0.063,82.94591,-2.613,-3.6945794,0.0,0.0,0.0,0.0,0.0,987.9,987.9,9.6,3.0,2.0,19.0,0.0,0.104050815,7.7879906,19.386591,236.3099,254.93146,12.599999,2.737,4.787,8.237,11.437,0.716,0.726,0.702,0.603
2023-08-04,15,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5680,4.835510910175403,52.30651607253664,18.7175,69.69636,13.0675,17.130308,0.2,0.2,0.0,0.0,51.0,1015.6,1015.2434,29.400002,21.0,12.0,11.0,0.31047526,0.65456605,18.289274,24.863466,323.8067,325.6196,37.44,20.7175,17.167501,16.067501,12.0675,0.645,0.617,0.519,0.647
2022-08-21,15,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13220,5.012374655243546,52.37858814460879,20.9935,64.07772,13.9435,20.171679,0.0,0.0,0.0,0.0,2.0,1016.2,1016.3178,71.1,33.0,19.0,100.0,0.2718373,0.8932594,14.404499,18.733839,268.56793,267.79745,27.0,23.1435,19.293499,17.9435,12.6935,0.487,0.402,0.453,0.618
2023-10-18,7,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7306,4.873831388273501,52.30831787433844,5.7935004,82.79199,3.0935,1.2446318,0.0,0.0,0.0,0.0,1.0,1009.7,1009.8234,30.000002,0.0,0.0,100.0,0.028453555,0.15901524,20.240196,35.747112,95.10208,99.27253,36.0,7.1435003,10.643499,14.893499,13.9935,0.665,0.668,0.586,0.628
