Date,Hour,has_roadsign,Gemiddelde hoogte onderkant bord,Gemiddelde kijkrichting,Scheiding,Buispaal,Flespaal,Lichtmast,Overig,Mast,Bouwwerk,Portaal,Hekwerk,VRI-Mast,Muur,grid_id,LON,LAT,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2018-09-21,19,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2796,4.7677131412326155,52.2902998563204,12.5935,76.87532,8.643499,8.211677,1.2,1.2,0.0,0.0,55.0,1010.0,1010.24176,39.0,16.0,32.0,18.0,0.04693222,0.3377037,27.607563,44.693676,257.95743,259.3237,61.199997,14.8435,17.293499,16.8935,16.6935,0.343,0.285,0.253,0.337
2022-02-19,10,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14768,5.050695133341644,52.23984940586989,6.55,59.40806,-0.8,-0.216115,0.0,0.0,0.0,0.0,0.0,1011.1,1011.2235,6.9,0.0,0.0,23.0,0.13351643,0.39517915,31.006012,43.921474,254.51144,255.28029,53.28,6.1,7.25,7.5,9.75,0.711,0.722,0.707,0.68
2008-09-21,18,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2313,4.755922224894738,52.32093048695107,13.7695,81.29092,10.6195,12.023237,0.0,0.0,0.0,0.0,2.0,1025.1,1025.7102,52.2,4.0,76.0,10.0,0.036480516,0.29497015,13.32,22.33161,18.924751,20.772345,19.8,14.2695,13.8695,14.419499,14.7195,0.408,0.415,0.406,0.434
2019-03-17,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,4.702863101374295,52.40561517163585,8.85,82.315315,6.0,1.8543787,0.7,0.7,0.0,0.0,53.0,993.4,993.1594,100.0,100.0,100.0,99.0,0.037008706,0.2013691,41.117294,62.722702,220.38358,221.74269,75.24,8.7,8.35,7.3,7.45,0.417,0.416,0.414,0.378
2017-08-03,18,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16624,5.09196334052421,52.430840396861115,18.587,67.869934,12.537001,14.363192,0.0,0.0,0.0,0.0,0.0,1008.2,1008.2,6.8999996,7.0,1.0,0.0,0.16615,0.6884028,34.417206,52.56493,232.65057,233.91483,65.520004,20.087,18.437,16.637,12.737,0.576,0.565,0.48,0.6
2020-02-09,18,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2748,4.764765412148146,52.42903859505931,11.2565,86.912865,9.1565,3.4569273,0.8,0.8,0.0,0.0,53.0,984.6,984.83624,100.0,100.0,100.0,10.0,0.033621553,0.17500949,51.984802,82.09263,216.55257,217.87505,120.95999,8.9065,6.7064996,7.4564996,10.3065,0.695,0.68,0.686,0.653
2022-02-18,17,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16878,5.100806527777618,52.21282237884284,7.776,68.18792,2.276,-1.3198662,0.3,0.3,0.0,0.0,51.0,987.6,987.35986,49.8,24.0,47.0,0.0,0.08111355,0.33681053,50.396145,77.441,244.16718,243.79236,95.399994,8.376,7.876,7.426,9.776,0.73,0.72,0.705,0.69
2020-02-24,19,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6938,4.864988201020093,52.32093048695107,9.8175,88.26223,7.9675,3.870717,0.1,0.1,0.0,0.0,51.0,1001.0,1000.63763,100.0,100.0,6.0,98.0,0.021104949,0.14262927,37.14286,58.23215,236.46393,237.882,68.4,8.117499,7.2675004,7.9175,9.9175,0.746,0.75,0.72,0.683
2012-11-25,6,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257,4.708758559543234,52.220029586050046,12.0195,78.62847,8.419499,4.7223177,0.0,0.0,0.0,0.0,3.0,998.4,998.99817,100.0,100.0,23.0,50.0,0.059153695,0.3005612,47.197083,70.00773,201.47685,203.00519,75.96,9.0195,7.8694997,9.1195,12.3195,0.407,0.403,0.396,0.393
2022-05-11,20,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,4.702863101374295,52.41822778424848,13.289,89.738716,11.639,8.950034,0.3,0.3,0.0,0.0,51.0,1008.8,1009.28174,100.0,100.0,100.0,0.0,0.036072254,0.15679753,33.231335,51.207386,247.04588,248.12373,64.079994,13.589,14.139,11.238999,8.589,0.249,0.23,0.292,0.382
2020-02-09,16,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12667,5.000583738905671,52.283092649113186,11.0565,77.4189,7.2565,1.9109163,0.4,0.4,0.0,0.0,51.0,988.8,989.0379,100.0,100.0,100.0,98.0,0.08022694,0.29801106,57.870487,87.61323,209.43532,210.35803,99.72,8.7565,6.6064997,7.4564996,10.3065,0.68,0.676,0.678,0.629
2013-03-15,21,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1697,4.741183579472394,52.33714670316731,2.4195,81.16838,-0.4805,-3.5615482,0.0,0.0,0.0,0.01,3.0,1010.0,1010.5013,100.0,97.0,98.0,98.0,0.020100342,0.13734108,25.942488,41.43911,177.6141,182.4895,41.399998,1.0695,1.2695,3.3695,5.1695,0.397,0.386,0.384,0.404
2012-01-05,20,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436,4.711706288627703,52.31732688334747,5.2695,78.142654,1.7695,-3.5451941,0.1,0.1,0.0,0.0,51.0,1002.4,1002.89185,47.100002,14.0,50.0,15.0,0.04264754,0.19477218,47.856983,68.73831,315.0001,315.84866,77.76,6.0695,7.1695,8.169499,10.2695,0.417,0.42,0.419,0.396
