Date,Hour,grid_id,has_building,Gemiddeld Bouwjaar,Gewogen Gemiddeld Bouwjaar,Voor 1860,1860-1919,1920-1939,1940-1969,1970-1985,1986-2001,Na 2001
2017-05-25,15,4761,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,10,2333,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-11,17,14821,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-05,16,15711,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-19,13,4736,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-31,13,10621,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-16,19,726,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-19,18,6007,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-19,13,4964,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,11,2373,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-08,0,1829,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,14,15661,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,16,13783,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,17,12254,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-26,18,14768,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-25,12,5045,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-09,12,14302,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,11,15903,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-21,9,10487,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,9,7167,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,13,14076,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-28,14,3162,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-28,18,4196,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,11,3438,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,13,16688,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-04,14,6809,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,16,1035,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-31,12,2461,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,8,11336,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,9,2224,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,10,16304,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-28,19,14602,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-24,9,13333,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-18,17,9186,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-21,22,6521,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-30,17,1437,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,10,14803,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,18,2401,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-05,10,16441,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-22,16,10037,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,8,6379,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-27,19,5779,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,15,5766,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,14,4541,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,13,12391,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,8,15174,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-16,15,8517,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-05,16,15272,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,17,8055,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,0,4852,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,14,9851,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-03,6,10061,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-11,9,14374,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
