Date,Hour,grid_id,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend
2007-06-08,20,7955,True,12.079,0.0,1935.5,0.0,2.0,1.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0
2023-07-11,14,6909,True,17.366,0.234,1986.691,0.0,0.0,0.0,0.0,2.0,8.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
2023-07-05,12,11898,True,8.627,0.788,1493.346,0.0,0.0,0.0,1.0,1.0,9.0,0.0,2.0,2.0,1.0,11.0,0.0,6.0,9.0,0.0,38.0,1.0
2023-07-05,12,5054,True,11.514,0.381,1952.106,7.0,0.0,28.0,0.0,0.0,8.0,19.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,15,5068,True,10.955,0.39,1993.632,72.0,45.0,8.0,11.0,15.0,21.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,5.0,23.0,0.0
2022-02-18,17,7451,True,9.166,0.435,282.539,7.0,2.0,7.0,30.0,8.0,20.0,1.0,2.0,11.0,11.0,6.0,0.0,5.0,38.0,8.0,148.0,0.0
2008-07-12,9,9320,True,13.167,0.0,1969.512,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
2006-07-22,18,3040,True,8.127,0.264,1772.741,20.0,3.0,1.0,4.0,3.0,3.0,0.0,0.0,6.0,3.0,10.0,5.0,0.0,1.0,0.0,20.0,2.0
2023-07-27,9,8081,True,7.872,0.233,1939.03,7.0,13.0,0.0,40.0,0.0,11.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,17.0,0.0
2022-02-18,16,14615,True,14.664,0.416,1840.239,28.0,8.0,3.0,19.0,4.0,7.0,6.0,14.0,1.0,0.0,0.0,3.0,1.0,61.0,9.0,19.0,1.0
2022-02-19,13,13759,True,15.674,0.397,1833.424,1.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0
2017-08-03,19,7750,True,11.02,0.0,1981.703,6.0,0.0,0.0,1.0,65.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,52.0,0.0
2019-03-14,13,11707,True,10.853,0.0,1826.6,0.0,0.0,0.0,2.0,0.0,1.0,0.0,15.0,8.0,0.0,0.0,17.0,5.0,20.0,0.0,7.0,0.0
