Date,Hour,grid_id,has_building,Gemiddeld Bouwjaar,Gewogen Gemiddeld Bouwjaar,Voor 1860,1860-1919,1920-1939,1940-1969,1970-1985,1986-2001,Na 2001,LON,LAT,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2022-04-13,15,8650,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.90625640820266,52.25246201848251,15.363,74.542435,10.863,14.285839,0.0,0.0,0.0,0.0,3.0,1017.4,1018.00256,94.8,6.0,99.0,100.0,0.1817301,0.44480395,9.227524,11.966953,249.44388,248.83867,22.68,14.462999,11.063,7.763,7.413,0.345,0.35,0.334,0.391
2023-04-16,12,14300,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.038904217003768,52.297507063527625,9.4935,87.33574,7.4935,6.565813,0.1,0.1,0.0,0.0,51.0,1025.5,1025.5,100.0,100.0,100.0,29.0,0.06472224,0.15058208,15.629971,21.218632,345.32355,345.25638,26.28,9.3435,9.0435,8.5935,9.0435,0.678,0.683,0.69,0.68
2022-08-09,15,13039,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.009426926159078,52.277687243707774,23.6,56.320705,14.4,22.55084,0.0,0.0,0.0,0.0,0.0,1028.0,1028.1185,6.6000004,0.0,0.0,22.0,0.4025773,1.2724466,18.678415,24.312662,27.552727,27.323807,34.56,24.65,18.7,16.75,12.1,0.35,0.385,0.478,0.633
2023-02-21,19,11831,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.979949635314387,52.35336291938354,7.774,91.17193,6.424,6.3433723,0.0,0.0,0.0,0.0,3.0,1017.1,1016.85266,90.0,100.0,0.0,0.0,0.0,0.09345138,3.6179552,8.217153,185.7105,208.8107,7.5599995,8.424,8.124,7.324,10.074,0.653,0.656,0.669,0.649
2023-09-05,22,6855,True,1950.0,1950.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.862040471935624,52.396606162626846,19.0565,86.254814,16.706501,20.211975,0.0,0.0,0.0,0.0,0.0,1018.9,1019.1381,0.0,0.0,0.0,0.0,0.0015845649,0.30316997,8.209263,22.9724,142.12495,147.80429,13.32,19.8565,18.706501,16.1065,13.0565,0.611,0.627,0.571,0.643
2023-05-04,7,11053,True,1977.0,1977.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.962263260807573,52.30291246893303,8.4675,78.08866,4.8675003,4.8281136,0.0,0.0,0.0,0.0,1.0,1022.1,1021.728,30.000002,0.0,0.0,100.0,0.096179895,0.24313289,16.418526,23.936617,74.74483,77.84508,29.88,8.5675,10.367499,9.5175,9.0675,0.617,0.639,0.673,0.664
2023-06-12,15,4112,True,2002.0,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.797190432077306,52.40921877523947,28.3565,32.05001,10.106501,27.330698,0.0,0.0,0.0,0.0,1.0,1014.8,1015.0302,35.1,0.0,10.0,97.0,0.5302686,2.6223516,12.10157,16.263872,30.379045,27.699385,27.359999,27.4065,20.0065,13.6565,9.8065,0.349,0.46,0.58,0.671
2022-09-10,6,14090,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03300875883483,52.36957913559978,13.587001,96.47843,13.037001,13.800045,0.0,0.0,0.0,0.0,1.0,1008.4,1008.4,27.899998,24.0,0.0,21.0,0.006002351,0.05486095,5.154415,10.805999,155.22488,181.9091,12.24,14.387,17.237,17.437,13.387,0.589,0.444,0.442,0.613
2022-07-17,11,7182,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.870883659189032,52.31011967614025,20.85,58.836376,12.5,22.309834,0.0,0.0,0.0,0.0,1.0,1027.6,1027.8389,28.800001,0.0,0.0,96.0,0.4869426,1.0147024,6.193674,7.42159,144.46223,140.90616,18.359999,20.7,17.4,15.75,11.2,0.438,0.485,0.505,0.641
2022-02-05,21,16676,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0949110696086795,52.29930886532942,7.602,88.37122,5.802,1.266262,1.1,1.1,0.0,0.0,55.0,1011.6,1011.96954,100.0,100.0,100.0,100.0,0.01802057,0.121665895,36.288643,57.718,233.47105,235.41779,64.439995,6.502,6.002,7.002,10.152,0.705,0.69,0.682,0.678
2022-04-08,10,9681,True,1989.0,1989.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.929838240878413,52.30831787433844,8.098,60.444794,0.898,3.7486873,0.1,0.1,0.0,0.0,51.0,997.6,996.8733,100.0,18.0,99.0,100.0,0.17647085,0.4280594,16.23596,20.957443,273.814,274.927,33.839996,7.498,7.348,7.798,8.998,0.682,0.652,0.6,0.674
2023-05-03,8,11597,True,1938.333,1939.12,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.974054177145448,52.3821917482124,8.7805,64.63046,2.4805,5.017269,0.0,0.0,0.0,0.0,2.0,1029.9,1029.7751,72.899994,48.0,0.0,99.0,0.16971353,0.40086907,14.081478,18.03237,85.60138,86.56644,27.0,8.6805,10.1805,9.4805,9.1305,0.625,0.644,0.671,0.65
2023-03-16,22,15095,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.056590591510583,52.37858814460879,8.287001,65.91237,2.287,3.2858777,0.0,0.0,0.0,0.0,2.0,1007.6,1007.6,57.600002,0.0,46.0,100.0,0.052485004,0.37365252,22.33161,39.98594,178.15244,182.06378,36.36,7.387,6.837,6.487,9.537001,0.671,0.683,0.671,0.637
2022-05-04,14,1678,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.741183579472394,52.30291246893303,12.576,60.25687,5.076,10.365297,0.0,0.0,0.0,0.0,3.0,1019.0,1019.48724,89.4,2.0,97.0,98.0,0.31016147,0.5797824,10.948973,13.527572,297.4075,295.20108,28.8,15.526,11.176,9.726,8.226,0.247,0.269,0.318,0.386
2023-06-04,12,2647,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.764765412148146,52.24705661307711,19.4065,49.466827,8.5565,18.72384,0.0,0.0,0.0,0.0,0.0,1023.6,1024.0785,12.6,0.0,0.0,42.0,0.50226796,1.1396284,14.003028,17.826363,46.041542,46.636536,32.760002,19.8065,15.0565,12.8065,9.7065,0.217,0.257,0.326,0.39
2022-03-23,22,13327,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.015322384328015,52.346155712176326,6.537,91.088,5.187,3.7984123,0.0,0.0,0.0,0.0,0.0,1031.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.086685956,10.703569,14.471821,70.346085,84.2895,12.599999,9.437,9.587001,7.837,9.137,0.508,0.552,0.63,0.678
2023-11-23,20,5892,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.841406368344342,52.238047604068086,11.9805,81.052704,8.830501,6.4744625,0.2,0.2,0.0,0.0,51.0,1014.3,1014.3,31.2,12.0,21.0,26.0,0.043022312,0.26578093,35.65636,55.450516,305.13428,305.75397,66.96,10.7305,9.9805,10.3805,13.9305,0.402,0.403,0.412,0.391
2022-09-14,13,5812,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.838458639259873,52.31912868514926,18.4545,66.518394,12.1045,18.444517,0.1,0.1,0.0,0.0,51.0,1006.0,1005.41077,100.0,100.0,0.0,81.0,0.21681882,0.71145797,4.5536795,5.4833565,71.564964,66.801384,17.28,19.0545,17.404501,17.0045,13.4545,0.542,0.504,0.459,0.617
2023-02-27,13,2045,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.750026766725801,52.2884980545186,6.063,54.875515,-2.337,0.44697762,0.0,0.0,0.0,0.0,3.0,1030.9,1031.5312,90.0,100.0,0.0,0.0,0.15132904,0.4247976,21.650938,29.28418,47.021362,46.49429,39.6,6.013,4.463,6.563,7.613,0.381,0.387,0.391,0.398
2022-06-21,11,6581,True,1911.4,1904.765,0.0,8.0,2.0,0.0,0.0,0.0,0.0,4.856145013766686,52.35336291938354,19.2915,57.68767,10.7415,20.7879,0.0,0.0,0.0,0.0,1.0,1015.3,1014.47015,39.3,26.0,0.0,53.0,0.49879816,0.9473467,4.3498964,4.896529,114.44395,107.10281,16.199999,19.4415,15.991499,14.1414995,10.1414995,0.511,0.51,0.517,0.652
2022-02-11,12,13415,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.018270113412484,52.27948904550957,6.7565,51.715034,-2.4935,0.96651363,0.0,0.0,0.0,0.0,1.0,1031.4,1031.6521,42.3,47.0,0.0,0.0,0.16183758,0.47677702,22.702845,31.072817,332.62238,333.13815,44.639996,6.4065,6.5065,7.3065,9.9565,0.693,0.7,0.697,0.676
2023-10-28,19,15543,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.068381507848459,52.28489445091499,11.237,84.88318,8.787001,8.012785,0.0,0.0,0.0,0.0,2.0,994.2,994.0807,52.5,21.0,6.0,100.0,0.017321901,0.20189321,19.93048,34.94968,163.20155,168.11136,33.12,10.937,11.037001,13.237,13.987,0.715,0.722,0.674,0.63
2023-04-24,20,172,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7058108304587645,52.2921016581222,6.5435004,86.44736,4.4435,2.9089952,0.0,0.0,0.0,0.0,2.0,1010.4,1010.5235,55.8,47.0,8.0,29.0,0.007077061,0.13188446,15.782622,27.776047,315.0001,317.62646,32.039997,8.6935,9.5935,8.8435,7.4435,0.414,0.418,0.407,0.403
2022-12-02,17,11268,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96815871897651,52.23984940586989,2.313,82.344,-0.387,-2.608844,0.0,0.0,0.0,0.0,3.0,1025.6,1025.9817,90.0,100.0,0.0,0.0,0.012927793,0.1277954,18.775303,28.894344,57.528828,59.281166,32.399998,3.713,5.713,9.513,13.162999,0.66,0.664,0.617,0.608
2023-02-20,22,9051,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.915099595456067,52.29930886532942,8.8435,90.00563,7.2935004,4.857168,0.0,0.0,0.0,0.0,3.0,1019.8,1019.8,90.0,100.0,0.0,0.0,0.007936745,0.113749385,22.553934,37.374172,245.48038,249.1209,38.519997,8.0935,7.6935,7.1935,10.0435,0.666,0.67,0.676,0.67
2022-02-15,21,16646,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0949110696086795,52.2452548112753,7.952,92.12831,6.752,3.5422316,1.6,1.6,0.0,0.0,61.0,1003.1,1003.46576,100.0,100.0,100.0,100.0,0.004652819,0.084341824,24.569836,40.321606,230.94687,232.61847,48.239998,7.102,6.902,7.202,9.902,0.752,0.704,0.698,0.681
2022-05-02,11,11998,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9828973643988554,52.42903859505931,13.676,57.462383,5.426,12.396439,0.0,0.0,0.0,0.0,0.0,1021.1,1021.8302,0.0,0.0,0.0,0.0,0.376852,0.6667084,9.957108,11.720751,40.601215,42.510403,23.4,14.426,10.076,9.876,9.076,0.441,0.503,0.572,0.658
2022-07-23,6,2040,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.750026766725801,52.27948904550957,15.1935,84.19862,12.5435,15.202908,0.0,0.0,0.0,0.0,0.0,1019.3,1019.54144,7.2,2.0,9.0,0.0,0.07198064,0.27308,5.4119864,12.959999,3.8140097,360.0,12.959999,15.6935,17.5935,17.793499,13.5435,0.296,0.247,0.263,0.35
2023-12-25,18,8498,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.900360950033722,52.42903859505931,10.7435,90.14755,9.1935,6.6843166,1.2,1.2,0.0,0.0,55.0,1005.7,1005.7,100.0,14.0,100.0,100.0,0.011324897,0.12734497,26.405453,44.155434,244.1337,245.94266,45.719997,9.643499,9.3435,8.6935,12.1935,0.74,0.732,0.734,0.721
2023-11-21,13,11739,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.977001906229918,52.412822378843074,9.606501,90.984955,8.2065,6.3414154,0.1,0.1,0.0,0.0,51.0,1019.5,1019.8699,100.0,74.0,75.0,0.0,0.04034299,0.10800576,19.171478,27.07669,34.286938,35.803432,35.64,9.7065,9.6565,10.9065,13.7065,0.707,0.716,0.715,0.648
2023-01-25,7,13386,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.018270113412484,52.22723679325726,-0.25,88.62792,-1.9,-3.6190443,0.0,0.0,0.0,0.01,3.0,1035.9,1036.1597,90.0,100.0,0.0,0.0,0.0,0.06844926,6.638072,8.654987,220.60121,224.9999,12.24,1.65,3.55,6.85,11.1,0.688,0.698,0.721,0.65
2023-11-24,13,13265,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.015322384328015,52.234444000464485,6.8065,68.22718,1.3565,0.4568653,0.0,0.0,0.0,0.0,2.0,1010.0,1010.2468,61.8,44.0,37.0,0.0,0.09124059,0.3148263,30.472675,46.730717,321.23447,322.51205,50.039997,7.0065,8.6565,10.606501,13.5065,0.71,0.707,0.717,0.675
