grid_id,has_building,Gemiddeld Bouwjaar,Gewogen Gemiddeld Bouwjaar,Voor 1860,1860-1919,1920-1939,1940-1969,1970-1985,1986-2001,Na 2001,Incident_ID,Service_Area,Date,Hour,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
3827,True,1992.625,2000.367,0.0,1.0,1.0,0.0,0.0,0.0,14.0,424411,Osdorp,2023-03-13,15,13.800000190734863,60.97066116333008,6.400000095367432,6.542394638061523,0.0,0.0,0.0,0.0,0.0,991.0,991.2359619140624,43.53618621826172,226.00498962402344,88.19999694824219,12.149999618530272,6.650000095367432,6.050000190734863,9.550000190734863,0.6990000009536743,0.7020000219345093,0.6790000200271606,0.6650000214576721
3832,True,1991.0,1990.055,0.0,0.0,0.0,2.0,0.0,1.0,3.0,350502,Osdorp,2020-06-29,21,15.548,72.37653,10.598,11.838011,0.0,0.0,0.0,0.0,3.0,1008.3,1007.5845,26.739542,223.36346,50.039997,17.498,18.248,15.398,10.598,0.4,0.415,0.498,0.652
3835,True,1989.125,1996.507,0.0,0.0,0.0,3.0,0.0,1.0,4.0,296760,Osdorp,2018-03-01,18,-2.9695,34.39246,-16.5195,-11.532752,0.0,0.0,0.0,0.0,2.0,1006.2,1006.07263,33.603645,85.08353,61.199997,-2.2695,0.5305,4.3805003,9.1805,0.636,0.645,0.673,0.665
3835,True,1989.125,1996.507,0.0,0.0,0.0,3.0,0.0,1.0,4.0,394295,Osdorp,2022-02-20,21,10.0305,89.79009,8.4305,1.3126707,2.6,2.6,0.0,0.0,63.0,987.9,987.7809,56.958553,233.99916,106.56,8.4805,7.0805,7.6305003,9.830501,0.763,0.755,0.708,0.68
3846,True,1990.2,1990.291,0.0,0.0,0.0,0.0,0.0,20.0,0.0,341147,Osdorp,2020-02-10,20,5.2,87.22993,3.25,-0.579566,0.9,0.9,0.0,0.0,53.0,990.5,990.62164,28.880886,274.28906,74.520004,5.85,7.05,7.5,10.25,0.748,0.732,0.693,0.653
3952,True,2003.1,2003.322,0.0,0.0,0.0,0.0,0.0,0.0,10.0,293484,Osdorp,2018-01-18,10,5.0805,80.95365,2.0805,-6.8446617,0.0,0.0,0.0,0.0,3.0,986.4,986.27893,69.55736,295.76926,135.35999,5.1805,4.9805,6.9305,10.8805,0.732,0.721,0.693,0.643
3952,True,2003.1,2003.322,0.0,0.0,0.0,0.0,0.0,0.0,10.0,420122,Osdorp,2023-01-13,10,8.337000846862793,79.9956283569336,5.086999893188477,2.74767541885376,0.0,0.0,0.0,0.0,2.0,1002.0,1002.0,30.10684967041016,243.74139404296875,60.83999633789063,7.236999988555908,8.28700065612793,8.38700008392334,11.38700008392334,0.7369999885559082,0.7400000095367432,0.718999981880188,0.6200000047683716
3955,True,2002.75,2006.18,0.0,0.0,0.0,1.0,0.0,0.0,7.0,393682,Osdorp,2022-02-18,19,6.9045,62.82476,0.30449998,-2.0481586,0.0,0.0,0.0,0.0,1.0,991.8,991.19525,47.149002,255.85762,99.0,7.6545,7.9545,7.5545,9.8545,0.722,0.72,0.7,0.679
3957,True,1995.6,1997.62,0.0,0.0,0.0,1.0,0.0,1.0,3.0,418788,Osdorp,2022-12-31,13,13.280500411987305,91.83373260498048,11.98050022125244,9.640721321105955,2.200000047683716,2.200000047683716,0.0,0.0,61.0,1003.4000244140624,1003.2803344726562,29.17999267578125,231.00900268554688,67.31999969482422,11.580500602722168,8.130499839782715,6.930500030517578,11.780500411987305,0.7570000290870667,0.7329999804496765,0.6629999876022339,0.609000027179718
3958,True,1981.571,1983.881,0.0,0.0,0.0,4.0,0.0,1.0,2.0,73183,Osdorp,2008-09-21,18,13.837001,81.02975,10.637,12.095911,0.0,0.0,0.0,0.0,2.0,1025.1,1024.856,13.32,18.924751,19.8,14.487,13.737,14.587001,13.687,0.528,0.538,0.517,0.561
3958,True,1981.571,1983.881,0.0,0.0,0.0,4.0,0.0,1.0,2.0,88586,Osdorp,2009-11-14,21,11.737,75.95801,7.637,4.440295,0.2,0.2,0.0,0.0,51.0,1001.3,1001.05975,45.831833,223.72705,74.520004,11.237,10.987,10.887,13.137,0.598,0.586,0.495,0.543
3958,True,1981.571,1983.881,0.0,0.0,0.0,4.0,0.0,1.0,2.0,397843,Osdorp,2022-04-07,11,9.580501,68.56474,4.0805,1.3306913,0.2,0.2,0.0,0.0,51.0,981.2,981.0814,46.929974,253.51117,85.32,9.2805,8.080501,7.7805004,9.080501,0.7,0.627,0.605,0.686
3959,True,1961.0,1961.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,394494,Osdorp,2022-02-21,19,6.974,77.03586,3.224,0.724051,0.0,0.0,0.0,0.0,0.0,1009.3,1009.0538,32.074364,315.0001,62.279995,6.774,6.874,7.624,9.824,0.738,0.744,0.721,0.681
3960,True,2008.75,2009.994,0.0,0.0,0.0,0.0,0.0,0.0,4.0,315655,Osdorp,2019-03-17,2,9.024,79.81684,5.724,3.0176148,0.7,0.7,0.0,0.0,53.0,993.8,993.5593,33.912685,217.23491,64.799995,9.124,8.174,7.824,9.574,0.722,0.725,0.704,0.63
3960,True,2008.75,2009.994,0.0,0.0,0.0,0.0,0.0,0.0,4.0,394183,Osdorp,2022-02-20,12,8.974,88.188095,7.124,2.481637,1.0,1.0,0.0,0.0,55.0,1002.6,1002.3572,39.45738,238.05006,67.32,7.874,6.624,7.624,9.824,0.741,0.738,0.705,0.68
4075,True,1965.033,1967.577,0.0,1.0,9.0,2.0,2.0,11.0,5.0,393533,Osdorp,2022-02-18,17,7.287,70.556404,2.287,-1.6622634,0.2,0.2,0.0,0.0,51.0,986.7,986.7,49.40401,247.73337,104.03999,8.387,7.987,7.587,9.887,0.727,0.72,0.7,0.679
4075,True,1965.033,1967.577,0.0,1.0,9.0,2.0,2.0,11.0,5.0,393684,Osdorp,2022-02-18,19,6.937,62.832455,0.33699998,-2.010542,0.0,0.0,0.0,0.0,1.0,991.8,991.8,47.149002,255.85762,99.0,7.687,7.987,7.587,9.887,0.722,0.72,0.7,0.679
4075,True,1965.033,1967.577,0.0,1.0,9.0,2.0,2.0,11.0,5.0,393945,Osdorp,2022-02-19,13,7.137,60.645805,0.037,0.6686616,0.3,0.3,0.0,0.0,51.0,1011.2,1011.2,29.827904,240.34099,59.76,7.487,7.237,7.637,9.887,0.706,0.713,0.701,0.679
4080,True,2007.375,2006.71,0.0,0.0,0.0,0.0,0.0,0.0,8.0,393468,Osdorp,2022-02-18,17,7.261,70.55124,2.261,-1.6928983,0.2,0.2,0.0,0.0,51.0,986.7,986.2194,49.40401,247.73337,104.03999,8.361,7.961,7.561,9.861,0.727,0.72,0.7,0.679
4093,True,1987.0,1993.264,0.0,0.0,0.0,6.0,0.0,2.0,6.0,65108,Osdorp,2008-01-31,13,4.4935,78.866684,1.1435,-6.0017214,0.5,0.5,0.0,0.0,53.0,1001.3,1001.1767,58.653492,200.10338,87.479996,5.1435003,5.9935,7.7435,10.0435,0.613,0.614,0.622,0.591
