Incident_ID,Date,Incident_Starttime,Incident_Endtime,Incident_Duration,Incident_Priority,Service_Area,Municipality,Damage_Type,LON,LAT
7374,2018-12-07,16:20:10,17:32:49,01:12:39,2,Teunis,Amsterdam,Building,4.84884294336739,52.3733464109625
7374,2018-12-07,16:20:10,17:32:49,01:12:39,2,Teunis,Amsterdam,"Fence, Road signs, Scaffolding",4.84884294336739,52.3733464109625
7381,2018-12-07,17:34:53,18:30:47,00:55:54,2,Zebra,Amsterdam,"Fence, Road signs, Scaffolding",4.94430375343571,52.3914117034032
7381,2018-12-07,17:34:53,18:30:47,00:55:54,2,Zebra,Amsterdam,Tree,4.94430375343571,52.3914117034032
7417,2018-12-08,09:39:12,11:47:54,02:08:42,2,Hendrik,Amsterdam,Building,4.8851685471329,52.3711332467334
7418,2018-12-08,09:53:55,10:10:44,00:16:49,2,Hendrik,Amsterdam,Unknown,4.87968501561188,52.3781112977663
7424,2018-12-08,11:46:39,14:10:55,02:24:16,2,Pieter,Amsterdam,Building,4.86225982412308,52.3415001240834
7424,2018-12-08,11:46:39,14:10:55,02:24:16,2,Pieter,Amsterdam,"Fence, Road signs, Scaffolding",4.86225982412308,52.3415001240834
7431,2018-12-08,12:40:13,13:12:25,00:32:12,2,Dirk,Amsterdam,Building,4.88712210112501,52.3580553832438
7439,2018-12-08,16:08:28,16:52:13,00:43:45,2,Nico,Amsterdam,Building,4.89847513912551,52.3801945954607
7464,2018-12-08,19:48:06,20:08:30,00:20:24,5,Pieter,Amsterdam,Unknown,4.82761851347709,52.3574475156784
7475,2018-12-09,00:03:54,04:36:31,04:32:37,5,Hendrik,Amsterdam,Unknown,4.87830207607022,52.3680840580495
7477,2018-12-09,00:20:23,01:09:17,00:48:54,2,Victor,Amsterdam,Building,4.93091467155284,52.3748595221987
7500,2018-12-09,10:41:28,11:42:43,01:01:15,5,Willem,Amsterdam,"Fence, Road signs, Scaffolding",4.91890667876758,52.3396616617723
7545,2018-12-10,07:56:05,09:38:28,01:42:23,5,Hendrik,Amsterdam,Tree,4.85066742094034,52.369409075786
7688,2018-12-12,07:24:53,07:47:50,00:22:57,5,Hendrik,Amsterdam,Tree,4.86113394490476,52.3770686492781
7727,2018-12-12,17:19:33,20:33:48,03:14:15,5,Dirk,Amsterdam,Tree,4.89265212475076,52.3531623216652
7937,2018-12-15,17:08:15,20:58:09,03:49:54,2,Teunis,Amsterdam,Building,4.87881176340568,52.3953549322513
7985,2018-12-16,10:39:24,13:14:02,02:34:38,2,Hendrik,Amsterdam,Tree,4.88615451131169,52.3761435783685
8398,2018-12-21,13:15:35,13:51:50,00:36:15,2,Pieter,Amsterdam,Building,4.83525390426913,52.3478394753022
8398,2018-12-21,13:15:35,13:51:50,00:36:15,2,Pieter,Amsterdam,"Fence, Road signs, Scaffolding",4.83525390426913,52.3478394753022
8401,2018-12-21,13:48:23,15:05:55,01:17:32,2,Willem,Amsterdam,Tree,4.8997298702548,52.3475473772331
8418,2018-12-21,16:05:42,17:11:37,01:05:55,2,Zebra,Amsterdam,Building,4.92566107825472,52.4013168138683
8433,2018-12-21,17:56:58,18:49:01,00:52:03,2,Duivendrecht,Ouder-Amstel,Tree,4.93790806291612,52.3339382273785
8683,2018-12-25,13:15:44,14:08:27,00:52:43,2,Nico,Amsterdam,Building,4.89813415869214,52.3711605487877
10243,2019-01-07,19:08:50,21:08:49,01:59:59,2,Diemen,Diemen,Building,4.95809638844709,52.3323953608972
10260,2019-01-08,00:00:33,03:21:12,03:20:39,5,Dirk,Amsterdam,Tree,4.87488741141614,52.3370076462351
