OBJECTNUMMER,ElementID,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT
1,1,"LINESTRING(4.969756 52.355647,4.969934 52.355579,4.970221 52.355519,4.970612 52.355505,4.971239 52.355382,4.971606 52.355277,4.97239 52.355044,4.973194 52.354754,4.974017 52.3544,4.975633 52.353557,4.996788 52.342291,4.997486 52.341917,4.997655 52.3418,4.99994 52.340623,4.999983 52.340519,5.000096 52.340515,5.000217 52.340466,5.004957 52.337961,5.008599 52.336007,5.010152 52.335065,5.010864 52.334573,5.011807 52.333876,5.012375 52.333411,5.01255 52.333233,5.012678 52.332858,5.012649 52.33276,5.013161 52.332216,5.013386 52.332034,5.013986 52.331737,5.014007 52.331569,5.014274 52.331498,5.014511 52.331197,5.015216 52.330043,5.015582 52.32933,5.015938 52.3283,5.01619 52.327103,5.01625 52.326632,5.016302 52.325606,5.016133 52.325117,5.01617 52.325028,5.016414 52.324664,5.016456 52.324233,5.017169 52.321315,5.017298 52.320707,5.019304 52.309243,5.020094 52.304896,5.020027 52.304831,5.019937 52.304805,5.018509 52.304924)","LINESTRING(52.355647 4.969756,52.355579 4.969934,52.355519 4.970221,52.355505 4.970612,52.355382 4.971239,52.355277 4.971606,52.355044 4.97239,52.354754 4.973194,52.3544 4.974017,52.353557 4.975633,52.342291 4.996788,52.341917 4.997486,52.3418 4.997655,52.340623 4.99994,52.340519 4.999983,52.340515 5.000096,52.340466 5.000217,52.337961 5.004957,52.336007 5.008599,52.335065 5.010152,52.334573 5.010864,52.333876 5.011807,52.333411 5.012375,52.333233 5.01255,52.332858 5.012678,52.33276 5.012649,52.332216 5.013161,52.332034 5.013386,52.331737 5.013986,52.331569 5.014007,52.331498 5.014274,52.331197 5.014511,52.330043 5.015216,52.32933 5.015582,52.3283 5.015938,52.327103 5.01619,52.326632 5.01625,52.325606 5.016302,52.325117 5.016133,52.325028 5.01617,52.324664 5.016414,52.324233 5.016456,52.321315 5.017169,52.320707 5.017298,52.309243 5.019304,52.304896 5.020094,52.304831 5.020027,52.304805 5.019937,52.304924 5.018509)",4.994925,52.330226
2,2,"LINESTRING(4.748164 52.407466,4.748079 52.407288,4.748019 52.407108,4.748015 52.406888,4.747711 52.40599,4.747286 52.404738,4.747284 52.404633,4.747832 52.403398,4.747867 52.403263,4.747861 52.403094,4.747167 52.401124,4.746559 52.39929,4.74572 52.396998)","LINESTRING(52.407466 4.748164,52.407288 4.748079,52.407108 4.748019,52.406888 4.748015,52.40599 4.747711,52.404738 4.747286,52.404633 4.747284,52.403398 4.747832,52.403263 4.747867,52.403094 4.747861,52.401124 4.747167,52.39929 4.746559,52.396998 4.74572)",4.746942,52.402232
3,3,"LINESTRING(4.749585 52.412086,4.74933 52.41023,4.748464 52.407872,4.748164 52.407466)","LINESTRING(52.412086 4.749585,52.41023 4.74933,52.407872 4.748464,52.407466 4.748164)",4.7488745,52.409776
4,4,"LINESTRING(4.727775 52.330301,4.732677 52.333711,4.735319 52.335504,4.735575 52.335754,4.736292 52.336228,4.745882 52.342917,4.747483 52.344013,4.754502 52.348924,4.759441 52.352345,4.759479 52.352521,4.759475 52.352646,4.75901 52.353271,4.75895 52.353447,4.758976 52.353585,4.759369 52.354051)","LINESTRING(52.330301 4.727775,52.333711 4.732677,52.335504 4.735319,52.335754 4.735575,52.336228 4.736292,52.342917 4.745882,52.344013 4.747483,52.348924 4.754502,52.352345 4.759441,52.352521 4.759479,52.352646 4.759475,52.353271 4.75901,52.353447 4.75895,52.353585 4.758976,52.354051 4.759369)",4.743627,52.342176
5,5,"LINESTRING(4.762931 52.352633,4.762383 52.352143,4.762175 52.352111,4.761796 52.352175,4.760521 52.352431,4.760384 52.352418,4.760267 52.352377,4.75224 52.346771,4.750457 52.345552,4.746807 52.342984,4.743257 52.340528,4.742821 52.340206,4.742397 52.339928,4.739993 52.338247,4.739548 52.337967,4.738958 52.337523,4.73785 52.336769,4.736542 52.335813,4.735924 52.335413,4.73385 52.333943,4.729724 52.331066,4.728412 52.330193,4.727783 52.329744)","LINESTRING(52.352633 4.762931,52.352143 4.762383,52.352111 4.762175,52.352175 4.761796,52.352431 4.760521,52.352418 4.760384,52.352377 4.760267,52.346771 4.75224,52.345552 4.750457,52.342984 4.746807,52.340528 4.743257,52.340206 4.742821,52.339928 4.742397,52.338247 4.739993,52.337967 4.739548,52.337523 4.738958,52.336769 4.73785,52.335813 4.736542,52.335413 4.735924,52.333943 4.73385,52.331066 4.729724,52.330193 4.728412,52.329744 4.727783)",4.745357,52.3411885
6,6,"LINESTRING(4.765458 52.357698,4.757767 52.361135,4.756316 52.361331)","LINESTRING(52.357698 4.765458,52.361135 4.757767,52.361331 4.756316)",4.760887,52.3595145
7,7,"LINESTRING(4.765458 52.357698,4.763279 52.355841,4.76153 52.35438)","LINESTRING(52.357698 4.765458,52.355841 4.763279,52.35438 4.76153)",4.763494,52.356039
8,8,"LINESTRING(4.770512 52.381238,4.761968 52.381137,4.761753 52.381147,4.761565 52.38119,4.76047 52.381519,4.760307 52.381549,4.760118 52.381561,4.759923 52.381537,4.759784 52.381482,4.759464 52.381264)","LINESTRING(52.381238 4.770512,52.381137 4.761968,52.381147 4.761753,52.38119 4.761565,52.381519 4.76047,52.381549 4.760307,52.381561 4.760118,52.381537 4.759923,52.381482 4.759784,52.381264 4.759464)",4.764988,52.381349
9,9,"LINESTRING(4.770512 52.381238,4.770484 52.382006)","LINESTRING(52.381238 4.770512,52.382006 4.770484)",4.770498,52.381622
10,10,"LINESTRING(4.770683 52.376603,4.770512 52.381238)","LINESTRING(52.376603 4.770683,52.381238 4.770512)",4.7705975,52.3789205
11,11,"LINESTRING(4.771278 52.354525,4.770524 52.354275,4.767622 52.351389)","LINESTRING(52.354525 4.771278,52.354275 4.770524,52.351389 4.767622)",4.76945,52.352957
12,12,"LINESTRING(4.771278 52.354525,4.770634 52.355383,4.765458 52.357698)","LINESTRING(52.354525 4.771278,52.355383 4.770634,52.357698 4.765458)",4.768368,52.3561115
13,13,"LINESTRING(4.771251 52.374154,4.76385 52.368803)","LINESTRING(52.374154 4.771251,52.368803 4.76385)",4.7675505,52.3714785
14,14,"LINESTRING(4.771204 52.398609,4.769846 52.398949,4.767475 52.399389,4.765878 52.399607,4.761872 52.400122,4.76152 52.4002,4.761259 52.400283,4.760689 52.400507,4.760491 52.400621,4.760162 52.400859,4.759958 52.401072,4.759724 52.401383,4.759642 52.401561,4.759327 52.402613,4.759277 52.402664,4.759183 52.403024,4.759198 52.403106,4.758796 52.404361,4.758736 52.404486,4.758639 52.404832,4.758646 52.404934,4.758533 52.405279,4.758452 52.405431,4.758307 52.405602,4.758117 52.405782,4.757889 52.405939,4.757444 52.406154,4.757083 52.40627,4.756844 52.406325,4.748164 52.407466)","LINESTRING(52.398609 4.771204,52.398949 4.769846,52.399389 4.767475,52.399607 4.765878,52.400122 4.761872,52.4002 4.76152,52.400283 4.761259,52.400507 4.760689,52.400621 4.760491,52.400859 4.760162,52.401072 4.759958,52.401383 4.759724,52.401561 4.759642,52.402613 4.759327,52.402664 4.759277,52.403024 4.759183,52.403106 4.759198,52.404361 4.758796,52.404486 4.758736,52.404832 4.758639,52.404934 4.758646,52.405279 4.758533,52.405431 4.758452,52.405602 4.758307,52.405782 4.758117,52.405939 4.757889,52.406154 4.757444,52.40627 4.757083,52.406325 4.756844,52.407466 4.748164)",4.759684,52.4030375
15,15,"LINESTRING(4.771204 52.398609,4.770427 52.397148,4.769014 52.397108,4.769014 52.394577,4.767744 52.394522,4.765046 52.394528,4.764315 52.394444,4.76383 52.394328,4.761587 52.393698,4.760168 52.393547,4.75921 52.393565,4.755932 52.393495,4.755043 52.393413,4.75429 52.393109,4.753403 52.39261,4.752872 52.392151,4.751998 52.390007,4.751596 52.389701,4.751007 52.389432,4.750054 52.389307,4.748768 52.389203,4.74514 52.38901,4.74447 52.3889,4.743889 52.388668,4.743598 52.388281,4.743576 52.387769,4.744161 52.38695)","LINESTRING(52.398609 4.771204,52.397148 4.770427,52.397108 4.769014,52.394577 4.769014,52.394522 4.767744,52.394528 4.765046,52.394444 4.764315,52.394328 4.76383,52.393698 4.761587,52.393547 4.760168,52.393565 4.75921,52.393495 4.755932,52.393413 4.755043,52.393109 4.75429,52.39261 4.753403,52.392151 4.752872,52.390007 4.751998,52.389701 4.751596,52.389432 4.751007,52.389307 4.750054,52.389203 4.748768,52.38901 4.74514,52.3889 4.74447,52.388668 4.743889,52.388281 4.743598,52.387769 4.743576,52.38695 4.744161)",4.75739,52.3927795
16,16,"LINESTRING(4.778561 52.351141,4.772816 52.353441,4.772207 52.353664,4.771723 52.353933,4.771278 52.354525)","LINESTRING(52.351141 4.778561,52.353441 4.772816,52.353664 4.772207,52.353933 4.771723,52.354525 4.771278)",4.7749195,52.352833
17,17,"LINESTRING(4.778561 52.351141,4.775781 52.348529)","LINESTRING(52.351141 4.778561,52.348529 4.775781)",4.777171,52.349835
18,18,"LINESTRING(4.779969 52.369375,4.77567 52.366336,4.775201 52.365962,4.771922 52.363165,4.765458 52.357698)","LINESTRING(52.369375 4.779969,52.366336 4.77567,52.365962 4.775201,52.363165 4.771922,52.357698 4.765458)",4.7727135,52.3635365
19,19,"LINESTRING(4.780479 52.359442,4.778569 52.357674,4.777928 52.357335,4.776043 52.357325,4.773089 52.355126,4.771278 52.354525)","LINESTRING(52.359442 4.780479,52.357674 4.778569,52.357335 4.777928,52.357325 4.776043,52.355126 4.773089,52.354525 4.771278)",4.7758785,52.3569835
20,20,"LINESTRING(4.787166 52.421553,4.779131 52.421539)","LINESTRING(52.421553 4.787166,52.421539 4.779131)",4.7831485,52.421546
21,21,"LINESTRING(4.787833 52.381581,4.781811 52.381524,4.781776 52.38135,4.770512 52.381238)","LINESTRING(52.381581 4.787833,52.381524 4.781811,52.38135 4.781776,52.381238 4.770512)",4.7791725,52.3814095
22,22,"LINESTRING(4.787987 52.376844,4.787833 52.381581)","LINESTRING(52.376844 4.787987,52.381581 4.787833)",4.78791,52.3792125
23,23,"LINESTRING(4.788277 52.359747,4.786701 52.362631)","LINESTRING(52.359747 4.788277,52.362631 4.786701)",4.787489,52.361189
24,24,"LINESTRING(4.788277 52.359747,4.78328 52.358785,4.782555 52.358729,4.780479 52.359442)","LINESTRING(52.359747 4.788277,52.358785 4.78328,52.358729 4.782555,52.359442 4.780479)",4.784378,52.359238
25,25,"LINESTRING(4.780971 52.369913,4.781513 52.37025,4.783476 52.371744,4.788608 52.375747,4.788583 52.37581,4.788011 52.376112,4.787987 52.376844)","LINESTRING(52.369913 4.780971,52.37025 4.781513,52.371744 4.783476,52.375747 4.788608,52.37581 4.788583,52.376112 4.788011,52.376844 4.787987)",4.7847895,52.3733785
26,26,"LINESTRING(4.788817 52.376586,4.787987 52.376844)","LINESTRING(52.376586 4.788817,52.376844 4.787987)",4.788402,52.376715
27,27,"LINESTRING(4.790187 52.35621,4.78689 52.355543,4.786597 52.355502,4.786272 52.355997,4.784783 52.355714,4.783385 52.355427,4.78301 52.355338,4.780524 52.352966,4.778561 52.351141)","LINESTRING(52.35621 4.790187,52.355543 4.78689,52.355502 4.786597,52.355997 4.786272,52.355714 4.784783,52.355427 4.783385,52.355338 4.78301,52.352966 4.780524,52.351141 4.778561)",4.784374,52.3536755
28,28,"LINESTRING(4.790187 52.35621,4.789024 52.358336,4.788277 52.359747)","LINESTRING(52.35621 4.790187,52.358336 4.789024,52.359747 4.788277)",4.789232,52.3579785
29,29,"LINESTRING(4.7917 52.353356,4.791515 52.353677,4.790772 52.355194,4.790187 52.35621)","LINESTRING(52.353356 4.7917,52.353677 4.791515,52.355194 4.790772,52.35621 4.790187)",4.7909435,52.354783
30,30,"LINESTRING(4.7917 52.353356,4.791508 52.353314)","LINESTRING(52.353356 4.7917,52.353314 4.791508)",4.791604,52.353335
31,31,"LINESTRING(4.7931 52.350837,4.792669 52.351577,4.79257 52.351815,4.7917 52.353356)","LINESTRING(52.350837 4.7931,52.351577 4.792669,52.351815 4.79257,52.353356 4.7917)",4.7924,52.3520965
32,32,"LINESTRING(4.793166 52.350698,4.787282 52.349494,4.787124 52.349399,4.787067 52.349279,4.787033 52.349052,4.786888 52.348836,4.786498 52.348602,4.786376 52.348556,4.786024 52.348471,4.785622 52.348434,4.785211 52.348463,4.778561 52.351141)","LINESTRING(52.350698 4.793166,52.349494 4.787282,52.349399 4.787124,52.349279 4.787067,52.349052 4.787033,52.348836 4.786888,52.348602 4.786498,52.348556 4.786376,52.348471 4.786024,52.348434 4.785622,52.348463 4.785211,52.351141 4.778561)",4.7858635,52.3497875
33,33,"LINESTRING(4.793166 52.350698,4.7931 52.350837)","LINESTRING(52.350698 4.793166,52.350837 4.7931)",4.793133,52.3507675
34,34,"LINESTRING(4.793256 52.350714,4.793166 52.350698)","LINESTRING(52.350714 4.793256,52.350698 4.793166)",4.793211,52.350706
35,35,"LINESTRING(4.793256 52.350714,4.7931 52.350837)","LINESTRING(52.350714 4.793256,52.350837 4.7931)",4.793178,52.3507755
36,36,"LINESTRING(4.793417 52.364122,4.78743 52.362937,4.785846 52.362563,4.784897 52.362312,4.783801 52.361882,4.782895 52.361412,4.782425 52.361124,4.782072 52.360883,4.7817 52.360573,4.781001 52.359952,4.780479 52.359442)","LINESTRING(52.364122 4.793417,52.362937 4.78743,52.362563 4.785846,52.362312 4.784897,52.361882 4.783801,52.361412 4.782895,52.361124 4.782425,52.360883 4.782072,52.360573 4.7817,52.359952 4.781001,52.359442 4.780479)",4.786948,52.361782
37,37,"LINESTRING(4.793888 52.3839,4.793758 52.383774,4.793501 52.38361,4.793399 52.383577,4.79322 52.383553,4.787097 52.383487,4.786925 52.383493,4.786721 52.383535,4.786022 52.383846,4.785934 52.383879,4.785774 52.383905,4.784327 52.383893,4.783929 52.383834,4.783557 52.383727,4.782566 52.383317,4.781922 52.383092,4.781581 52.383014,4.781375 52.382999,4.779839 52.382988,4.779498 52.383041,4.779225 52.383114,4.779053 52.383181,4.778604 52.383434,4.778275 52.383589,4.777771 52.383739,4.777556 52.383793,4.777388 52.383817,4.777175 52.383822,4.776781 52.383805,4.77588 52.383709,4.774896 52.383523,4.77436 52.3835,4.773873 52.383507,4.773507 52.383543,4.772553 52.383703,4.772083 52.383756,4.771836 52.383762,4.763744 52.38365,4.763543 52.383654,4.763014 52.383706,4.759278 52.383666,4.759216 52.383695,4.759176 52.383736,4.758766 52.383715)","LINESTRING(52.3839 4.793888,52.383774 4.793758,52.38361 4.793501,52.383577 4.793399,52.383553 4.79322,52.383487 4.787097,52.383493 4.786925,52.383535 4.786721,52.383846 4.786022,52.383879 4.785934,52.383905 4.785774,52.383893 4.784327,52.383834 4.783929,52.383727 4.783557,52.383317 4.782566,52.383092 4.781922,52.383014 4.781581,52.382999 4.781375,52.382988 4.779839,52.383041 4.779498,52.383114 4.779225,52.383181 4.779053,52.383434 4.778604,52.383589 4.778275,52.383739 4.777771,52.383793 4.777556,52.383817 4.777388,52.383822 4.777175,52.383805 4.776781,52.383709 4.77588,52.383523 4.774896,52.3835 4.77436,52.383507 4.773873,52.383543 4.773507,52.383703 4.772553,52.383756 4.772083,52.383762 4.771836,52.38365 4.763744,52.383654 4.763543,52.383706 4.763014,52.383666 4.759278,52.383695 4.759216,52.383736 4.759176,52.383715 4.758766)",4.776327,52.3834465
38,38,"LINESTRING(4.79393 52.381639,4.793888 52.3839)","LINESTRING(52.381639 4.79393,52.3839 4.793888)",4.793909,52.3827695
39,39,"LINESTRING(4.79393 52.381639,4.787833 52.381581)","LINESTRING(52.381639 4.79393,52.381581 4.787833)",4.7908815,52.38161
40,40,"LINESTRING(4.793417 52.364122,4.793054 52.371996,4.793006 52.372374,4.792876 52.37296,4.792597 52.373609,4.791315 52.375789,4.791242 52.376085,4.793345 52.377518,4.793508 52.37819,4.794011 52.379506,4.79393 52.381639)","LINESTRING(52.364122 4.793417,52.371996 4.793054,52.372374 4.793006,52.37296 4.792876,52.373609 4.792597,52.375789 4.791315,52.376085 4.791242,52.377518 4.793345,52.37819 4.793508,52.379506 4.794011,52.381639 4.79393)",4.7926265,52.3728805
41,41,"LINESTRING(4.794918 52.364419,4.793417 52.364122)","LINESTRING(52.364419 4.794918,52.364122 4.793417)",4.7941675,52.3642705
42,42,"LINESTRING(4.794477 52.397599,4.788161 52.397622,4.78741 52.397597,4.778441 52.397606,4.777217 52.39758,4.77516 52.397789,4.772561 52.39827,4.771204 52.398609)","LINESTRING(52.397599 4.794477,52.397622 4.788161,52.397597 4.78741,52.397606 4.778441,52.39758 4.777217,52.397789 4.77516,52.39827 4.772561,52.398609 4.771204)",4.7828405,52.3980945
43,43,"LINESTRING(4.795166 52.418382,4.794788 52.418898,4.793417 52.420467,4.792817 52.420988,4.792105 52.421373,4.791396 52.42156,4.787166 52.421553)","LINESTRING(52.418382 4.795166,52.418898 4.794788,52.420467 4.793417,52.420988 4.792817,52.421373 4.792105,52.42156 4.791396,52.421553 4.787166)",4.791166,52.419971
44,44,"LINESTRING(4.795166 52.418382,4.794422 52.418158,4.792919 52.418144,4.78714 52.418168,4.787166 52.421553)","LINESTRING(52.418382 4.795166,52.418158 4.794422,52.418144 4.792919,52.418168 4.78714,52.421553 4.787166)",4.791153,52.4198485
45,45,"LINESTRING(4.796586 52.361384,4.788277 52.359747)","LINESTRING(52.361384 4.796586,52.359747 4.788277)",4.7924315,52.3605655
46,46,"LINESTRING(4.796586 52.361384,4.795653 52.36311,4.795133 52.363996,4.794918 52.364419)","LINESTRING(52.361384 4.796586,52.36311 4.795653,52.363996 4.795133,52.364419 4.794918)",4.795752,52.3629015
47,47,"LINESTRING(4.798202 52.347716,4.794886 52.34942,4.793256 52.350714)","LINESTRING(52.347716 4.798202,52.34942 4.794886,52.350714 4.793256)",4.795729,52.349215
48,48,"LINESTRING(4.798202 52.347716,4.797789 52.347499,4.797401 52.347242,4.797109 52.347015,4.796565 52.346527,4.795451 52.344733,4.795365 52.34449,4.795387 52.34423,4.795202 52.343873,4.794878 52.34344,4.794132 52.34234,4.793979 52.342155,4.793769 52.341988,4.793524 52.34183,4.793124 52.341649,4.792836 52.341464,4.792647 52.341222,4.792512 52.341086)","LINESTRING(52.347716 4.798202,52.347499 4.797789,52.347242 4.797401,52.347015 4.797109,52.346527 4.796565,52.344733 4.795451,52.34449 4.795365,52.34423 4.795387,52.343873 4.795202,52.34344 4.794878,52.34234 4.794132,52.342155 4.793979,52.341988 4.793769,52.34183 4.793524,52.341649 4.793124,52.341464 4.792836,52.341222 4.792647,52.341086 4.792512)",4.795357,52.344401
49,49,"LINESTRING(4.798414 52.357882,4.790187 52.35621)","LINESTRING(52.357882 4.798414,52.35621 4.790187)",4.7943005,52.357046
50,50,"LINESTRING(4.798414 52.357882,4.798396 52.358035,4.796586 52.361384)","LINESTRING(52.357882 4.798414,52.358035 4.798396,52.361384 4.796586)",4.7975,52.359633
51,51,"LINESTRING(4.799078 52.414074,4.796858 52.416551,4.796096 52.417448,4.795166 52.418382)","LINESTRING(52.414074 4.799078,52.416551 4.796858,52.417448 4.796096,52.418382 4.795166)",4.797122,52.416228
52,52,"LINESTRING(4.799078 52.414074,4.794409 52.412326,4.79305 52.412291,4.788831 52.412323)","LINESTRING(52.414074 4.799078,52.412326 4.794409,52.412291 4.79305,52.412323 4.788831)",4.7939545,52.4131825
53,53,"LINESTRING(4.799859 52.358178,4.798414 52.357882)","LINESTRING(52.358178 4.799859,52.357882 4.798414)",4.7991365,52.35803
54,54,"LINESTRING(4.800279 52.355053,4.79962 52.35628,4.799289 52.356851,4.798578 52.35745,4.798437 52.357686,4.798414 52.357882)","LINESTRING(52.355053 4.800279,52.35628 4.79962,52.356851 4.799289,52.35745 4.798578,52.357686 4.798437,52.357882 4.798414)",4.7993465,52.3564675
55,55,"LINESTRING(4.800279 52.355053,4.800125 52.35502,4.799342 52.354682,4.798381 52.354413,4.795819 52.353898,4.79583 52.35383,4.792918 52.353247,4.792709 52.353574,4.7917 52.353356)","LINESTRING(52.355053 4.800279,52.35502 4.800125,52.354682 4.799342,52.354413 4.798381,52.353898 4.795819,52.35383 4.79583,52.353247 4.792918,52.353574 4.792709,52.353356 4.7917)",4.7959895,52.35415
56,56,"LINESTRING(4.800981 52.373209,4.793446 52.373957)","LINESTRING(52.373209 4.800981,52.373957 4.793446)",4.7972135,52.373583
57,57,"LINESTRING(4.801416 52.355293,4.799859 52.358178)","LINESTRING(52.355293 4.801416,52.358178 4.799859)",4.8006375,52.3567355
58,58,"LINESTRING(4.801416 52.355293,4.800279 52.355053)","LINESTRING(52.355293 4.801416,52.355053 4.800279)",4.8008475,52.355173
59,59,"LINESTRING(4.794477 52.397599,4.79451 52.399462,4.794637 52.399842,4.794891 52.400127,4.795285 52.400345,4.796145 52.40057,4.797481 52.400777,4.798636 52.401074,4.799605 52.401559,4.80013 52.402096,4.800519 52.402675,4.80065 52.403205,4.800679 52.411902,4.800656 52.412313,4.799078 52.414074)","LINESTRING(52.397599 4.794477,52.399462 4.79451,52.399842 4.794637,52.400127 4.794891,52.400345 4.795285,52.40057 4.796145,52.400777 4.797481,52.401074 4.798636,52.401559 4.799605,52.402096 4.80013,52.402675 4.800519,52.403205 4.80065,52.411902 4.800679,52.412313 4.800656,52.414074 4.799078)",4.797578,52.4058365
60,60,"LINESTRING(4.801722 52.352408,4.796709 52.351381,4.794076 52.350861,4.793256 52.350714)","LINESTRING(52.352408 4.801722,52.351381 4.796709,52.350861 4.794076,52.350714 4.793256)",4.797489,52.351561
61,61,"LINESTRING(4.801722 52.352408,4.800279 52.355053)","LINESTRING(52.352408 4.801722,52.355053 4.800279)",4.8010005,52.3537305
62,62,"LINESTRING(4.801981 52.365816,4.794918 52.364419)","LINESTRING(52.365816 4.801981,52.364419 4.794918)",4.7984495,52.3651175
63,63,"LINESTRING(4.801981 52.365816,4.801717 52.366166,4.80099 52.36746,4.800726 52.368196,4.800448 52.369096,4.800349 52.369887,4.80027 52.371044,4.800498 52.372078,4.800745 52.372545,4.800981 52.373209)","LINESTRING(52.365816 4.801981,52.366166 4.801717,52.36746 4.80099,52.368196 4.800726,52.369096 4.800448,52.369887 4.800349,52.371044 4.80027,52.372078 4.800498,52.372545 4.800745,52.373209 4.800981)",4.8011255,52.3695125
64,64,"LINESTRING(4.800981 52.373209,4.801463 52.37531,4.801883 52.376918,4.801859 52.377081,4.801716 52.380425)","LINESTRING(52.373209 4.800981,52.37531 4.801463,52.376918 4.801883,52.377081 4.801859,52.380425 4.801716)",4.801432,52.376817
65,65,"LINESTRING(4.802849 52.352637,4.801416 52.355293)","LINESTRING(52.352637 4.802849,52.355293 4.801416)",4.8021325,52.353965
66,66,"LINESTRING(4.802849 52.352637,4.801722 52.352408)","LINESTRING(52.352637 4.802849,52.352408 4.801722)",4.8022855,52.3525225
67,67,"LINESTRING(4.803275 52.358881,4.799859 52.358178)","LINESTRING(52.358881 4.803275,52.358178 4.799859)",4.801567,52.3585295
68,68,"LINESTRING(4.803305 52.359894,4.799368 52.359088,4.799859 52.358178)","LINESTRING(52.359894 4.803305,52.359088 4.799368,52.358178 4.799859)",4.8013365,52.359036
69,69,"LINESTRING(4.803305 52.359894,4.803275 52.358881)","LINESTRING(52.359894 4.803305,52.358881 4.803275)",4.80329,52.3593875
70,70,"LINESTRING(4.803447 52.349213,4.803318 52.349455,4.801722 52.352408)","LINESTRING(52.349213 4.803447,52.349455 4.803318,52.352408 4.801722)",4.8025845,52.3508105
71,71,"LINESTRING(4.803447 52.349213,4.80088 52.34871,4.799875 52.348469,4.799275 52.34826,4.798202 52.347716)","LINESTRING(52.349213 4.803447,52.34871 4.80088,52.348469 4.799875,52.34826 4.799275,52.347716 4.798202)",4.8008245,52.3484645
72,72,"LINESTRING(4.803077 52.384163,4.799686 52.384117,4.799351 52.384121,4.797604 52.384203,4.794315 52.384149,4.794162 52.384104,4.794089 52.384064,4.793888 52.3839)","LINESTRING(52.384163 4.803077,52.384117 4.799686,52.384121 4.799351,52.384203 4.797604,52.384149 4.794315,52.384104 4.794162,52.384064 4.794089,52.3839 4.793888)",4.7984825,52.3840515
73,73,"LINESTRING(4.803077 52.384163,4.803051 52.384781,4.803018 52.384991,4.802912 52.385095,4.802724 52.385195,4.802278 52.385334,4.802028 52.385442,4.801891 52.385569,4.801616 52.385916,4.799504 52.387173,4.79809 52.387515,4.795547 52.387564,4.794857 52.387874,4.794455 52.388489,4.794611 52.393181,4.794467 52.396979,4.794477 52.397599)","LINESTRING(52.384163 4.803077,52.384781 4.803051,52.384991 4.803018,52.385095 4.802912,52.385195 4.802724,52.385334 4.802278,52.385442 4.802028,52.385569 4.801891,52.385916 4.801616,52.387173 4.799504,52.387515 4.79809,52.387564 4.795547,52.387874 4.794857,52.388489 4.794455,52.393181 4.794611,52.396979 4.794467,52.397599 4.794477)",4.798766,52.390881
74,74,"LINESTRING(4.803644 52.362777,4.796586 52.361384)","LINESTRING(52.362777 4.803644,52.361384 4.796586)",4.800115,52.3620805
75,75,"LINESTRING(4.803644 52.362777,4.802091 52.365671,4.801981 52.365816)","LINESTRING(52.362777 4.803644,52.365671 4.802091,52.365816 4.801981)",4.8028125,52.3642965
76,76,"LINESTRING(4.804092 52.34934,4.803447 52.349213)","LINESTRING(52.34934 4.804092,52.349213 4.803447)",4.8037695,52.3492765
77,77,"LINESTRING(4.804113 52.350293,4.802849 52.352637)","LINESTRING(52.350293 4.804113,52.352637 4.802849)",4.803481,52.351465
78,78,"LINESTRING(4.805026 52.372801,4.800981 52.373209)","LINESTRING(52.372801 4.805026,52.373209 4.800981)",4.8030035,52.373005
79,79,"LINESTRING(4.80633 52.345429,4.804092 52.34934)","LINESTRING(52.345429 4.80633,52.34934 4.804092)",4.805211,52.3473845
80,80,"LINESTRING(4.80633 52.345429,4.804074 52.34497,4.802982 52.344696,4.802061 52.344637,4.801224 52.344677,4.800098 52.34493)","LINESTRING(52.345429 4.80633,52.34497 4.804074,52.344696 4.802982,52.344637 4.802061,52.344677 4.801224,52.34493 4.800098)",4.803214,52.345033
81,81,"LINESTRING(4.806876 52.360624,4.803305 52.359894)","LINESTRING(52.360624 4.806876,52.359894 4.803305)",4.8050905,52.360259
82,82,"LINESTRING(4.806876 52.360624,4.806099 52.362091,4.805866 52.362494,4.805723 52.362824,4.805523 52.362962,4.805224 52.363018,4.803722 52.362738,4.803644 52.362777)","LINESTRING(52.360624 4.806876,52.362091 4.806099,52.362494 4.805866,52.362824 4.805723,52.362962 4.805523,52.363018 4.805224,52.362738 4.803722,52.362777 4.803644)",4.80526,52.361821
83,83,"LINESTRING(4.807285 52.366883,4.801981 52.365816)","LINESTRING(52.366883 4.807285,52.365816 4.801981)",4.804633,52.3663495
84,84,"LINESTRING(4.807285 52.366883,4.805182 52.370729,4.805029 52.371155,4.804935 52.371629,4.80492 52.372151,4.805026 52.372801)","LINESTRING(52.366883 4.807285,52.370729 4.805182,52.371155 4.805029,52.371629 4.804935,52.372151 4.80492,52.372801 4.805026)",4.8061025,52.369842
85,85,"LINESTRING(4.808097 52.35834,4.804622 52.357645,4.803275 52.358881)","LINESTRING(52.35834 4.808097,52.357645 4.804622,52.358881 4.803275)",4.805686,52.358263
86,86,"LINESTRING(4.808097 52.35834,4.806876 52.360624)","LINESTRING(52.35834 4.808097,52.360624 4.806876)",4.8074865,52.359482
87,87,"LINESTRING(4.808997 52.356677,4.808374 52.356733,4.804677 52.355955,4.801416 52.355293)","LINESTRING(52.356677 4.808997,52.356733 4.808374,52.355955 4.804677,52.355293 4.801416)",4.8052065,52.356013
88,88,"LINESTRING(4.808997 52.356677,4.808097 52.35834)","LINESTRING(52.356677 4.808997,52.35834 4.808097)",4.808547,52.3575085
