OBJECTNUMMER,ElementID,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT
734,734,"LINESTRING(4.974364 52.314479,4.984352 52.317911,4.984664 52.318105,4.984626 52.318425,4.982301 52.321152,4.980294 52.323367)","LINESTRING(52.314479 4.974364,52.317911 4.984352,52.318105 4.984664,52.318425 4.984626,52.321152 4.982301,52.323367 4.980294)",4.979514,52.318923
735,735,"LINESTRING(4.989067 52.294687,4.988826 52.293633,4.988689 52.293387,4.988534 52.293215,4.988291 52.293065,4.987735 52.292924,4.987387 52.292869,4.982154 52.292723,4.980465 52.292739,4.974733 52.29289,4.974272 52.292846,4.970805 52.292062)","LINESTRING(52.294687 4.989067,52.293633 4.988826,52.293387 4.988689,52.293215 4.988534,52.293065 4.988291,52.292924 4.987735,52.292869 4.987387,52.292723 4.982154,52.292739 4.980465,52.29289 4.974733,52.292846 4.974272,52.292062 4.970805)",4.979936,52.2933745
736,736,"LINESTRING(4.989067 52.294687,4.988975 52.294697,4.981847 52.294536,4.976427 52.294885,4.976357 52.294259,4.97453 52.294311)","LINESTRING(52.294687 4.989067,52.294697 4.988975,52.294536 4.981847,52.294885 4.976427,52.294259 4.976357,52.294311 4.97453)",4.9817985,52.294572
737,737,"LINESTRING(4.989191 52.301454,4.989259 52.295814,4.989245 52.295429,4.989067 52.294687)","LINESTRING(52.301454 4.989191,52.295814 4.989259,52.295429 4.989245,52.294687 4.989067)",4.989163,52.2980705
738,738,"LINESTRING(4.990163 52.315786,4.986416 52.321383)","LINESTRING(52.315786 4.990163,52.321383 4.986416)",4.9882895,52.3185845
739,739,"LINESTRING(4.991037 52.289912,4.981482 52.29082,4.979997 52.291139,4.974022 52.291044,4.971842 52.290521)","LINESTRING(52.289912 4.991037,52.29082 4.981482,52.291139 4.979997,52.291044 4.974022,52.290521 4.971842)",4.9814395,52.2905255
740,740,"LINESTRING(4.992013 52.294523,4.992023 52.293431,4.991037 52.289912)","LINESTRING(52.294523 4.992013,52.293431 4.992023,52.289912 4.991037)",4.99153,52.2922175
741,741,"LINESTRING(4.992013 52.294523,4.990661 52.294512,4.989067 52.294687)","LINESTRING(52.294523 4.992013,52.294512 4.990661,52.294687 4.989067)",4.99054,52.2945995
742,742,"LINESTRING(4.991953 52.301289,4.992013 52.294523)","LINESTRING(52.301289 4.991953,52.294523 4.992013)",4.991983,52.297906
743,743,"LINESTRING(4.992849 52.289739,4.991037 52.289912)","LINESTRING(52.289739 4.992849,52.289912 4.991037)",4.991943,52.2898255
744,744,"LINESTRING(4.995608 52.294552,4.992013 52.294523)","LINESTRING(52.294552 4.995608,52.294523 4.992013)",4.9938105,52.2945375
745,745,"LINESTRING(4.995522 52.315358,4.994909 52.315404,4.9943 52.315359,4.993656 52.315218,4.993204 52.315057,4.992633 52.314649,4.991318 52.313523,4.990729 52.313222,4.987001 52.312066,4.985506 52.311676,4.983855 52.311158,4.983038 52.311038,4.981923 52.310916,4.980706 52.310666,4.979334 52.31017,4.975011 52.308457,4.974266 52.308005,4.973494 52.306742)","LINESTRING(52.315358 4.995522,52.315404 4.994909,52.315359 4.9943,52.315218 4.993656,52.315057 4.993204,52.314649 4.992633,52.313523 4.991318,52.313222 4.990729,52.312066 4.987001,52.311676 4.985506,52.311158 4.983855,52.311038 4.983038,52.310916 4.981923,52.310666 4.980706,52.31017 4.979334,52.308457 4.975011,52.308005 4.974266,52.306742 4.973494)",4.984508,52.311073
