,Date,grid_id,LAT,LON,Hour,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
964,2019-06-08,8481,52.398407964428635,4.900360950033722,16,True,6.156,0.0,2007.417,0.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,15.8435,63.566414,8.9435,9.823331,0.0,0.0,0.0,0.0,0.0,1015.3,1015.3,14.700001,5.0,17.0,0.0,0.263487,0.6565043,39.38505,58.75835,233.54898,233.97253,77.76,16.5935,14.9435,13.2935,9.9435,0.682,0.598,0.536,0.617
965,2023-07-05,5042,52.283092649113186,4.820772264753058,10,True,12.0,0.0,1973.286,0.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.337001,80.42333,10.037001,7.548605,1.6,1.6,0.0,0.0,61.0,1005.4,1005.5197,100.0,33.0,100.0,45.0,0.087672435,0.30009913,39.875587,62.57997,263.26004,264.38788,76.67999,13.337001,15.837001,16.587,12.637,0.405,0.252,0.267,0.369
966,2023-07-05,11885,52.22543499145546,4.9828973643988554,10,True,9.9,0.29,1995.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,13.4935,85.12837,11.0435,7.957285,1.6,1.6,0.0,0.0,61.0,1005.7,1005.81976,95.700005,36.0,100.0,11.0,0.07977439,0.23029733,40.17993,61.63574,257.58255,258.887,73.079994,13.393499,16.6435,16.1935,10.9435,0.69,0.432,0.542,0.663
967,2008-07-10,11542,52.283092649113186,4.974054177145448,17,True,8.312,0.175,2001.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,19.2435,79.66941,15.643499,18.759304,0.0,0.0,0.0,0.0,3.0,1007.8,1007.8,100.0,38.0,95.0,92.0,0.13319449,0.45370293,16.485485,26.749235,238.39255,241.02039,42.48,18.543499,16.3435,15.0435,10.6935,0.621,0.482,0.527,0.65
968,2022-02-18,9976,52.38939895541962,4.935733699047351,19,True,10.164,0.75,1682.171,3.0,4.0,5.0,3.0,2.0,0.0,11.0,1.0,7.0,1.0,0.0,0.0,0.0,25.0,0.0,2.0,12.0,6.6785,65.55387,0.6785,-2.6232371,0.0,0.0,0.0,0.0,0.0,991.1,990.0116,17.7,13.0,10.0,0.0,0.07825773,0.33832747,49.950565,76.929726,254.96213,256.7441,92.88,7.3785,7.6785,7.3785,9.8285,0.723,0.722,0.691,0.648
969,2022-07-31,4199,52.340750306770914,4.800138161161775,14,True,16.0,0.25,1779.333,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.286999,84.49131,17.587,18.444841,2.4,2.4,0.0,0.0,61.0,1013.8,1013.8,100.0,92.0,100.0,0.0,0.20843318,0.3691504,31.353085,46.541748,254.68712,255.21127,49.68,20.887,18.587,16.587,11.787001,0.481,0.434,0.485,0.634
970,2023-07-05,4544,52.286696252716794,4.808981348415181,10,True,11.318,0.15,1999.091,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.330501,80.42243,10.0305,7.540247,1.6,1.6,0.0,0.0,61.0,1005.4,1005.4,100.0,33.0,100.0,45.0,0.08765052,0.2999859,39.875587,62.57997,263.26004,264.38788,76.67999,13.330501,15.830501,16.5805,12.6305,0.405,0.252,0.267,0.369
971,2023-07-05,12364,52.412822378843074,4.9917405516522635,10,True,7.263,0.179,2006.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,13.2935,84.26219,10.6935,7.1766357,2.6,2.6,0.0,0.0,63.0,1004.2,1004.3196,100.0,90.0,100.0,100.0,0.0773947,0.2405622,43.440826,65.91441,260.4597,263.729,92.88,13.1935,16.6435,16.1935,10.9935,0.725,0.439,0.533,0.651
972,2023-07-05,11168,52.28489445091499,4.965210989892042,10,True,7.415,0.15,1923.83,10.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,12.0,6.0,6.0,0.0,0.0,9.0,0.0,4.0,0.0,13.313,83.427246,10.563,7.760721,1.9,1.9,0.0,0.0,61.0,1005.3,1005.6597,100.0,34.0,100.0,78.0,0.08457848,0.2536484,39.30435,60.99636,261.57312,262.53952,75.96,13.212999,16.513,16.013,10.863,0.701,0.428,0.538,0.66
973,2023-07-05,12416,52.28129084731138,4.994688280736732,10,True,9.455,0.583,1698.915,3.0,5.0,7.0,0.0,1.0,3.0,0.0,10.0,4.0,0.0,2.0,0.0,0.0,25.0,24.0,33.0,0.0,13.3065,83.426476,10.5565,7.752306,1.9,1.9,0.0,0.0,61.0,1005.3,1005.54,100.0,34.0,100.0,78.0,0.08455727,0.25355315,39.30435,60.99636,261.57312,262.53952,75.96,13.2065,16.5065,16.0065,10.856501,0.701,0.428,0.538,0.66
