,Date,grid_id,LAT,LON,Unnamed: 0,Hour,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
968,2022-05-27,3413,52.32633589235648,4.850249555597749,1592,11,False,,,,,,,,,,,,,,,,,,,,,14.648,59.51904,6.848,11.273024,0.0,0.0,0.0,0.0,1.0,1021.6,1020.87274,23.699999,23.0,0.0,10.0,0.35930488,0.67563194,24.86868,33.56312,292.1095,292.71445,47.88,16.548,14.448,12.648,9.448,0.567,0.539,0.538,0.663
969,2023-04-25,3772,52.2884980545186,4.862040471935625,1593,19,False,,,,,,,,,,,,,,,,,,,,,5.374,73.2762,0.974,1.8383656,0.0,0.0,0.0,0.0,0.0,1018.7,1018.57495,9.6,10.0,1.0,0.0,0.025936421,0.23987019,10.739832,21.175837,320.44037,324.6887,27.72,8.524,9.174,8.774,7.474,0.397,0.404,0.402,0.401
970,2022-11-28,6931,52.364173730194366,4.971106448060979,1594,11,False,,,,,,,,,,,,,,,,,,,,,10.137,92.88281,9.037001,8.286046,0.0,0.0,0.0,0.0,3.0,1009.3,1009.3,100.0,49.0,98.0,90.0,0.046590727,0.08834815,10.97262,15.03835,228.99101,227.9109,20.16,8.537001,7.637,10.037001,13.387,0.701,0.677,0.569,0.599
971,2022-03-24,4580,52.38038994641061,4.885622304611378,1595,16,False,,,,,,,,,,,,,,,,,,,,,15.448,55.763424,6.648,13.525866,0.2,0.2,0.0,0.0,51.0,1029.4,1028.5474,22.2,4.0,31.0,0.0,0.14849947,0.7772599,7.342588,11.304229,348.6901,350.8377,14.04,14.548,9.248,7.948,9.148,0.538,0.567,0.628,0.693
972,2023-03-01,7335,52.31912868514926,4.988792822567794,1596,16,False,,,,,,,,,,,,,,,,,,,,,5.7435,63.69975,-0.6065,1.5318255,0.0,0.0,0.0,0.0,0.0,1026.2,1026.3259,0.9,1.0,0.0,0.0,0.087912545,0.33427322,13.684735,22.59699,54.63746,59.349415,30.239998,4.4935,3.6935,7.0935,9.893499,0.636,0.647,0.669,0.65
973,2022-10-06,2457,52.270480036500565,4.823719993837527,1598,10,False,,,,,,,,,,,,,,,,,,,,,15.113,63.832653,8.313,11.248173,0.0,0.0,0.0,0.0,0.0,1028.2,1028.8094,1.8,2.0,0.0,0.0,0.22054425,0.62193906,23.469128,32.90999,249.341,250.17744,43.199997,14.212999,13.763,14.063,16.013,0.363,0.352,0.298,0.329
974,2022-02-14,8847,52.31011967614025,5.071329236932927,1599,12,False,,,,,,,,,,,,,,,,,,,,,9.65,75.34785,5.5,3.7927256,0.0,0.0,0.0,0.0,1.0,998.8,999.04156,38.4,31.0,8.0,19.0,0.121952966,0.2962286,32.55363,46.44558,231.73596,232.2418,60.479996,8.5,6.3,7.15,9.95,0.676,0.678,0.688,0.662
975,2023-03-30,7462,52.29930886532942,4.994688280736732,1601,17,False,,,,,,,,,,,,,,,,,,,,,11.9805,80.235435,8.6805,7.5571184,0.0,0.0,0.0,0.0,0.0,1005.2,1004.9591,15.9,9.0,13.0,0.0,0.08863125,0.2772466,27.959743,42.9367,235.49141,236.97612,50.76,12.7805,9.1805,7.9305,9.1305,0.695,0.694,0.698,0.674
976,2022-11-04,4038,52.26147102749154,4.870883659189032,1602,9,False,,,,,,,,,,,,,,,,,,,,,9.363,96.03675,8.763,7.8875065,0.0,0.0,0.0,0.0,2.0,1005.5,1006.1081,66.9,13.0,42.0,100.0,0.03606996,0.046711445,7.8954163,14.205182,226.8476,261.2539,14.04,9.912999,11.563,13.962999,15.063,0.393,0.374,0.309,0.328
977,2023-03-03,3356,52.40201156803226,4.847301826513279,1603,15,False,,,,,,,,,,,,,,,,,,,,,7.2805004,65.218735,1.1805,3.3663688,0.0,0.0,0.0,0.0,3.0,1026.4,1026.1499,87.299995,97.0,0.0,0.0,0.0943761,0.35600656,13.570615,18.331741,338.19852,340.49747,25.199999,6.2305,4.0805,6.7305,9.7805,0.648,0.654,0.669,0.666
978,2023-09-12,3646,52.400209766230454,4.856145013766686,1605,19,False,,,,,,,,,,,,,,,,,,,,,19.237,87.927155,17.187,20.899654,0.0,0.0,0.0,0.0,1.0,1013.4,1013.2817,48.600002,4.0,25.0,100.0,0.0,0.26928258,6.1305785,14.799459,49.76371,48.94529,9.72,20.987,20.536999,17.087,13.237,0.667,0.581,0.562,0.642
979,2022-07-30,4902,52.301110667131226,4.897413220949254,1606,21,False,,,,,,,,,,,,,,,,,,,,,17.087,80.40558,13.687,17.225048,0.0,0.0,0.0,0.0,0.0,1018.2,1018.31995,6.6000004,0.0,11.0,0.0,0.005168271,0.38201654,7.208994,11.966954,177.13765,164.2913,9.36,19.337,19.786999,17.536999,14.087001,0.203,0.215,0.252,0.348
980,2022-07-21,4290,52.364173730194366,4.8767791173579695,1607,19,False,,,,,,,,,,,,,,,,,,,,,16.7785,80.6258,13.4285,15.356167,0.0,0.0,0.0,0.0,3.0,1020.6,1019.5182,90.0,100.0,0.0,0.0,0.06007101,0.37042308,17.287498,25.944988,328.62704,330.9455,40.32,19.1285,20.478498,16.328499,11.278501,0.603,0.457,0.494,0.638
981,2022-12-06,6076,52.34255210857271,4.9386814281318205,1608,21,True,21.5,0.0,1970.0,,,,,,,3.0,,,,,,,,,,,4.9175,89.38676,3.3174999,1.6532154,0.0,0.0,0.0,0.0,1.0,1018.0,1017.625,41.4,32.0,21.0,0.0,0.0,0.09228802,11.720751,24.464113,317.4896,327.01147,18.72,4.4175,5.3675003,8.8175,13.0675,0.65,0.641,0.587,0.599
