,Date,grid_id,LAT,LON,Unnamed: 0,Hour,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
794,2023-07-05,4843,52.35696652298716,4.894465491864784,1172,10,False,,,,,,,,,,,,,,,,,,,,,13.122,84.8057,10.622,7.5247726,2.3,2.3,0.0,0.0,61.0,1005.0,1003.80133,100.0,24.0,100.0,100.0,0.071120255,0.22967339,39.732323,63.102768,265.32266,266.72958,86.399994,13.022,16.372002,15.922,10.772,0.727,0.486,0.538,0.661
795,2017-09-21,6581,52.41642598244668,4.956367802638635,1173,8,False,,,,,,,,,,,,,,,,,,,,,13.6,77.55331,9.75,11.072837,0.0,0.0,0.0,0.0,1.0,1019.3,1019.5427,41.7,17.0,1.0,86.0,0.10136334,0.35003638,16.954432,24.648829,183.65215,186.70975,29.88,12.95,13.75,14.55,14.15,0.633,0.634,0.497,0.591
796,2023-07-05,3140,52.37498454100519,4.841406368344342,1174,9,False,,,,,,,,,,,,,,,,,,,,,13.624,79.66093,10.174,6.0162945,2.5,2.5,0.0,0.0,63.0,1001.4,1001.0421,100.0,87.0,100.0,100.0,0.08455559,0.31765962,52.620377,82.45257,267.2551,268.99933,104.76,13.224,16.474,15.974,10.774,0.727,0.509,0.547,0.666
797,2023-07-05,8978,52.2921016581222,5.089015611439741,1175,9,False,,,,,,,,,,,,,,,,,,,,,12.7955,86.48226,10.5955,6.3603973,1.7,1.7,0.0,0.0,61.0,1002.6,1002.8393,100.0,100.0,100.0,92.0,0.059698634,0.20002007,45.42424,71.10889,251.99574,254.13422,86.399994,13.195499,16.6455,16.095499,10.8955,0.675,0.43,0.538,0.652
798,2020-07-05,7922,52.41462418064488,5.012374655243546,1176,13,False,,,,,,,,,,,,,,,,,,,,,20.3,67.55663,14.1,15.996794,0.2,0.2,0.0,0.0,51.0,1008.8,1009.03516,69.9,45.0,49.0,0.0,0.3393927,0.7730508,40.181545,56.02252,247.3406,247.71994,73.079994,20.05,17.2,15.7,10.95,0.435,0.358,0.471,0.629
799,2022-02-19,4283,52.35156111758174,4.8767791173579695,1177,12,False,,,,,,,,,,,,,,,,,,,,,6.7675004,57.541042,-1.0325,-0.2534275,0.1,0.1,0.0,0.0,51.0,1011.7,1011.3295,96.0,44.0,53.0,82.0,0.16152097,0.41957682,32.52177,46.852585,243.71866,244.02565,68.03999,7.3175,7.1675,7.6175003,9.867499,0.705,0.714,0.701,0.679
800,2009-04-18,1758,52.2452548112753,4.803085890246245,1178,12,False,,,,,,,,,,,,,,,,,,,,,15.263,51.996628,5.463,12.227398,0.0,0.0,0.0,0.0,0.0,1016.0,1016.6017,7.8,0.0,0.0,26.0,0.3847913,0.8335281,20.633371,26.987997,42.878906,46.080845,37.8,15.212999,11.263,9.912999,6.063,0.332,0.33,0.359,0.393
801,2020-08-26,4076,52.32993949596009,4.870883659189032,1179,11,False,,,,,,,,,,,,,,,,,,,,,16.661001,84.91128,14.111,12.75119,0.5,0.5,0.0,0.0,53.0,1005.5,1005.02606,100.0,100.0,100.0,0.0,0.100702405,0.2863345,36.0072,55.8,268.85425,270.0,78.84,16.611,17.111,17.711,12.761001,0.644,0.558,0.474,0.625
802,2023-07-05,3032,52.364173730194366,4.838458639259873,1181,8,False,,,,,,,,,,,,,,,,,,,,,13.2175,81.48982,10.117499,5.2453613,6.7,6.7,0.0,0.0,63.0,999.3,998.9425,100.0,94.0,100.0,94.0,0.077526495,0.2815491,55.00819,85.362526,255.59995,258.07404,103.32,13.1675,16.6175,15.9675,10.8175,0.747,0.456,0.538,0.661
803,2022-02-20,1867,52.27408364010417,4.806033619330712,1183,19,False,,,,,,,,,,,,,,,,,,,,,9.8,91.61655,8.5,2.426005,1.1,1.1,0.0,0.0,55.0,992.4,992.75946,100.0,100.0,100.0,99.0,0.016084127,0.10174918,47.867817,74.15038,226.2188,227.55795,84.24,8.25,7.15,7.2,7.8,0.43,0.429,0.42,0.402
804,2009-11-15,1758,52.2452548112753,4.803085890246245,1184,0,False,,,,,,,,,,,,,,,,,,,,,10.962999,74.02835,6.513,5.361534,0.0,0.0,0.0,0.0,1.0,1005.7,1006.30505,45.6,29.0,27.0,11.0,0.05603717,0.34064382,32.35997,48.84472,249.14546,250.63014,62.279995,10.712999,11.212999,10.662999,13.712999,0.378,0.373,0.317,0.335
805,2022-04-26,5300,52.396606162626846,4.90920413728713,1185,18,False,,,,,,,,,,,,,,,,,,,,,9.080501,66.08737,3.0805,5.6250544,0.0,0.0,0.0,0.0,0.0,1021.9,1021.6525,0.0,0.0,0.0,0.0,0.079513825,0.3922125,12.7279215,20.991426,331.26028,337.8336,30.599998,12.6805,10.9305,9.830501,8.9805,0.503,0.532,0.578,0.679
806,2021-05-21,7185,52.30291246893303,4.9828973643988554,1187,21,False,,,,,,,,,,,,,,,,,,,,,11.45,63.881035,4.85,5.2638664,0.0,0.0,0.0,0.0,3.0,997.4,997.63934,100.0,44.0,85.0,83.0,0.08616948,0.48928106,33.857227,52.48844,215.042,216.6342,59.399998,11.75,11.75,9.9,8.65,0.67,0.647,0.592,0.653
807,2022-02-18,3859,52.27948904550957,4.864988201020093,1188,15,False,,,,,,,,,,,,,,,,,,,,,9.143499,65.63548,3.0435,-1.3833914,0.1,0.1,0.0,0.0,51.0,986.0,986.23846,22.5,9.0,24.0,0.0,0.13267766,0.39912862,61.17034,93.098114,227.86247,228.60574,105.479996,8.6935,7.8935003,7.2935004,7.7935004,0.421,0.421,0.412,0.401
808,2023-07-11,2136,52.24705661307711,4.814876806584119,1190,14,False,,,,,,,,,,,,,,,,,,,,,24.5935,61.457966,16.6935,24.418222,0.2,0.2,0.0,0.0,51.0,1010.8,1011.0318,43.2,6.0,13.0,100.0,0.4373196,1.1914704,20.65848,27.890127,247.4569,246.41296,40.68,24.5935,20.293499,17.2435,13.0935,0.261,0.257,0.255,0.366
809,2023-07-05,7931,52.31732688334747,5.015322384328017,1191,11,False,,,,,,,,,,,,,,,,,,,,,13.637,81.00302,10.437,8.22717,0.7,0.7,0.0,0.0,53.0,1007.0,1007.0,100.0,37.0,100.0,100.0,0.09694451,0.29694617,38.0733,57.25811,256.88354,258.76074,68.4,13.287001,16.536999,16.187,10.887,0.704,0.439,0.536,0.651
810,2023-07-05,7602,52.29930886532942,5.000583738905671,1192,11,False,,,,,,,,,,,,,,,,,,,,,13.5435,86.26967,11.2935,8.480746,0.4,0.4,0.0,0.0,51.0,1007.4,1007.4,100.0,35.0,100.0,100.0,0.084399976,0.21331346,37.457306,56.584167,256.0973,256.75946,66.96,13.393499,16.3935,15.9935,10.8435,0.688,0.434,0.538,0.66
811,2009-03-23,5269,52.340750306770914,4.90920413728713,1193,22,False,,,,,,,,,,,,,,,,,,,,,4.898,66.3528,-0.852,-1.345578,0.0,0.0,0.0,0.0,2.0,1003.8,1003.0603,62.1,24.0,44.0,47.0,0.05023761,0.29217076,27.36947,44.645805,305.36255,307.794,46.8,4.998,6.348,6.248,7.398,0.63,0.615,0.642,0.643
812,2019-06-06,4668,52.37318273920339,4.888570033695846,1194,15,False,,,,,,,,,,,,,,,,,,,,,16.448,58.351746,8.248,13.96036,0.0,0.0,0.0,0.0,1.0,1013.7,1012.86316,44.100002,1.0,24.0,96.0,0.3258764,0.77995074,15.716793,21.068459,249.90468,250.0168,36.36,18.998,16.048,13.098,9.848,0.65,0.584,0.534,0.617
813,2023-07-05,2586,52.31192147794205,4.8266677229219965,1196,16,False,,,,,,,,,,,,,,,,,,,,,16.667501,73.7864,11.9675,14.054678,0.0,0.0,0.0,0.0,0.0,1011.5,1011.1423,16.5,15.0,5.0,0.0,0.24394606,0.4977131,22.104116,31.1686,276.5462,276.63242,52.92,16.817501,16.1175,15.9675,10.8175,0.666,0.512,0.538,0.661
814,2020-08-26,8963,52.28489445091499,5.086067882355273,1197,11,False,,,,,,,,,,,,,,,,,,,,,17.4455,79.9342,13.945499,13.4506,0.4,0.4,0.0,0.0,51.0,1005.4,1005.6362,100.0,97.0,88.0,0.0,0.13407087,0.4001572,36.17955,54.951614,264.2895,264.7377,72.72,16.5455,17.2955,17.845499,12.8455,0.653,0.547,0.465,0.623
815,2022-02-18,4227,52.4254349914557,4.873831388273501,1200,18,False,,,,,,,,,,,,,,,,,,,,,6.961,66.09081,1.061,-2.4780564,0.0,0.0,0.0,0.0,1.0,989.0,988.3972,21.900002,15.0,14.0,0.0,0.079045035,0.33957285,51.31989,79.26951,261.52893,261.90677,102.6,7.761,7.861,7.511,9.811001,0.729,0.727,0.702,0.681
816,2008-08-13,4791,52.26327282929334,4.894465491864784,1201,18,False,,,,,,,,,,,,,,,,,,,,,17.1565,69.161804,11.4565,12.06839,0.0,0.0,0.0,0.0,1.0,1004.3,1004.6549,33.300003,16.0,23.0,17.0,0.13585413,0.60394824,37.97104,58.321114,222.31017,223.24918,71.28,17.6565,17.1065,16.3565,12.2565,0.633,0.602,0.518,0.611
817,2022-02-20,2912,52.331741297761894,4.835510910175403,1202,17,False,,,,,,,,,,,,,,,,,,,,,9.711,91.61088,8.411,3.1035547,1.0,1.0,0.0,0.0,55.0,995.6,995.1192,100.0,100.0,100.0,100.0,0.02944109,0.10121298,42.45253,66.62432,230.50551,231.58191,74.520004,8.261001,6.861,7.611,9.811001,0.758,0.742,0.706,0.68
818,2017-02-23,5978,52.29930886532942,4.935733699047351,1204,22,False,,,,,,,,,,,,,,,,,,,,,4.5195,80.01087,1.3695,-3.3411736,0.2,0.2,0.0,0.0,51.0,992.9,993.3891,100.0,71.0,100.0,97.0,0.03376704,0.16905314,40.846912,62.014114,325.0493,327.32474,78.479996,6.2695,7.3195,5.6194997,8.3195,0.723,0.711,0.648,0.622
819,2021-05-05,6353,52.2921016581222,4.950472344469697,1205,11,False,,,,,,,,,,,,,,,,,,,,,8.65,78.11686,5.05,2.6490622,0.8,0.8,0.0,0.0,53.0,1004.7,1004.82153,82.5,42.0,32.0,85.0,0.1835228,0.24583572,33.97187,47.17236,279.7617,280.10922,62.639996,9.3,8.1,8.2,8.6,0.67,0.603,0.595,0.659
820,2019-06-06,7457,52.2902998563204,4.994688280736732,1206,9,False,,,,,,,,,,,,,,,,,,,,,15.5435,66.792175,9.393499,12.359734,0.0,0.0,0.0,0.0,2.0,1010.5,1010.5,53.399998,36.0,35.0,0.0,0.24122858,0.5870025,20.774214,28.054604,261.02747,261.14212,46.8,15.1935,15.893499,13.143499,9.893499,0.668,0.536,0.52,0.609
821,2020-09-27,1981,52.33714670316731,4.808981348415181,1207,5,False,,,,,,,,,,,,,,,,,,,,,15.7305,93.47817,14.6805,12.79611,0.3,0.3,0.0,0.0,51.0,997.9,997.78217,100.0,100.0,33.0,97.0,0.008426888,0.116639376,30.758411,49.071053,20.556128,22.425905,57.6,13.830501,13.3805,15.080501,13.5305,0.683,0.578,0.504,0.617
822,2011-09-12,646,52.42183138785209,4.758869953979208,1209,17,False,,,,,,,,,,,,,,,,,,,,,18.2,74.29301,13.55,12.558214,0.0,0.0,0.0,0.0,1.0,1003.9,1003.9,27.0,30.0,0.0,0.0,0.13230798,0.5375725,46.50832,67.07409,230.02412,231.10005,76.67999,18.2,16.9,15.35,12.85,0.591,0.596,0.566,0.555
823,2021-08-02,769,52.38399355001421,4.764765412148146,1214,11,False,,,,,,,,,,,,,,,,,,,,,17.5935,62.69284,10.393499,15.895538,0.1,0.1,0.0,0.0,51.0,1014.3,1014.3,42.9,17.0,46.0,0.0,0.32877132,0.7511014,13.684735,17.786331,305.36255,305.9422,28.8,17.6435,16.1435,15.7935,11.1935,0.646,0.615,0.539,0.643
824,2022-02-19,2642,52.412822378843074,4.8266677229219965,1215,16,False,,,,,,,,,,,,,,,,,,,,,5.7675004,77.942345,2.2175,0.81699276,0.5,0.5,0.0,0.0,53.0,1008.2,1007.7062,100.0,30.0,100.0,100.0,0.049377166,0.20346296,21.897945,35.320385,207.40749,209.9621,51.12,6.9175,7.2175,7.5675,9.8175,0.711,0.716,0.704,0.681
825,2021-05-04,7946,52.34435391037452,5.015322384328017,1217,12,False,,,,,,,,,,,,,,,,,,,,,8.537001,78.91924,5.087,1.0600514,0.6,0.6,0.0,0.0,53.0,994.5,994.5,95.4,46.0,90.0,0.0,0.1706731,0.23501873,44.274147,65.22361,243.43501,244.84941,95.399994,10.137,8.637,8.287001,8.637,0.619,0.558,0.584,0.651
826,2022-02-18,3220,52.33714670316731,4.844354097428811,1218,15,False,,,,,,,,,,,,,,,,,,,,,9.085,65.6225,2.985,-1.2624636,0.1,0.1,0.0,0.0,51.0,985.4,984.4463,12.0,10.0,5.0,0.0,0.13152768,0.3977096,59.865086,92.48357,227.19325,227.36629,106.2,8.835,7.8849998,7.535,9.835,0.731,0.72,0.699,0.679
827,2019-06-08,4084,52.34435391037452,4.870883659189032,1219,13,False,,,,,,,,,,,,,,,,,,,,,15.248,78.842064,11.598,10.173072,2.1,2.1,0.0,0.0,61.0,1013.5,1012.7801,40.2,12.0,30.0,38.0,0.22235641,0.36695087,38.18716,56.01211,225.76381,226.04153,78.479996,15.148,14.748,13.198,9.898,0.706,0.628,0.556,0.634
828,2022-02-20,1910,52.38038994641061,4.806033619330712,1221,13,False,,,,,,,,,,,,,,,,,,,,,9.25,89.72999,7.65,3.2208571,0.8,0.8,0.0,0.0,53.0,1001.1,1001.22107,100.0,100.0,100.0,100.0,0.043715436,0.120131254,37.162045,60.1103,234.46223,235.73885,69.479996,7.9,6.65,7.6,9.85,0.744,0.735,0.707,0.682
829,2022-02-20,5278,52.35696652298716,4.90920413728713,1222,18,False,,,,,,,,,,,,,,,,,,,,,9.698,91.610054,8.398,2.723868,1.5,1.5,0.0,0.0,61.0,993.9,993.18005,100.0,100.0,100.0,100.0,0.01512502,0.10113478,44.943806,70.34017,229.54813,230.60745,79.92,8.298,6.898,7.598,9.798,0.761,0.745,0.707,0.68
